Complexity,Loss,Equation
1,1063.789,"0.02069296"
3,604.56024,"bsq ^ -1.1352936"
5,139.71959,"(bsq ^ -0.26111683) ^ n"
7,22.086409,"(0.9563726 ^ bsq) * (0.60356754 ^ n)"
8,22.061678,"(exp(n) ^ -0.5054274) * (0.956526 ^ bsq)"
9,17.586653,"((0.57801485 ^ n) * 1.2497667) * (0.95444703 ^ bsq)"
10,11.431839,"exp(((1.1944649 ^ n) * -0.44620478) * (bsq ^ 0.38959014))"
12,9.996054,"(0.75236523 ^ n) * exp(((n * bsq) ^ 0.5693906) * -0.14864497)"
13,6.968523,"exp(bsq * -0.033111025) * exp((bsq ^ 0.16888073) * (n * -0.3408221))"
14,4.7199225,"exp((1.1445038 ^ n) * ((bsq ^ 0.6387732) * -0.14456074)) * (0.73418 ^ n)"
18,4.6756244,"(0.76366836 ^ n) * exp((((1.0029953 ^ bsq) * -0.21155846) * (1.1540759 ^ n)) * (bsq ^ 0.5092399))"
19,4.5930963,"(gaussian(Pb * 0.016798962) * exp(((1.1452152 ^ n) * -0.1488434) * (bsq ^ 0.62932485))) * (0.73703086 ^ n)"
21,3.3184102,"(exp(((bsq ^ 0.5490111) * -0.20098129) * (1.1586304 ^ n)) * (0.77252406 ^ n)) * gaussian((Pb * bsq) * -0.0006355535)"
23,3.3054142,"((gaussian(Pb * (bsq * 0.0006291664)) * exp(((1.1584562 ^ n) * (bsq ^ 0.5510639)) * -0.20150691)) * (0.77184385 ^ n)) ^ 0.9934692"
27,3.30452,"((exp(((1.1591804 ^ n) * (bsq ^ 0.5473276)) * -0.2021819) * (0.7766599 ^ n)) * gaussian((bsq * (Pb * -0.0006798595)) * (bsq ^ -0.017199818))) ^ 1.0054876"
28,3.2814386,"gaussian((Pb * bsq) * 0.00064405287) * (1.1085514 * ((0.8565143 ^ n) * ((exp(n) ^ -0.09621771) * exp((1.1516678 ^ n) * ((bsq ^ 0.51745784) * -0.24241981)))))"
30,3.281001,"(0.8565145 ^ n) * ((gaussian(((Pb * -1.1457089) * bsq) * 0.0005634917) * 1.1085514) * (exp((bsq ^ 0.51745754) * ((1.1516674 ^ n) * -0.24241942)) * (exp(n) ^ -0.096217506)))"
