Complexity,Loss,Equation
1,197.00684,"0.0"
3,112.34239,"bL * 0.0016654541"
5,109.545494,"bL * (0.18245368 ^ n)"
7,61.241684,"(0.6003269 ^ n) * (bL * 0.023609022)"
9,61.141525,"((n ^ -0.20564719) ^ n) * (bL * 0.009891903)"
10,43.849365,"(bL * 0.007261578) * gaussian(bL * (n * -0.045681905))"
12,41.629128,"gaussian(bL * ((n * n) * -0.008239446)) * (bL * 0.005992852)"
13,28.284782,"(bL * (gaussian(bL * 0.1623306) * 0.048674315)) * (exp(n) ^ -0.4868508)"
14,28.131332,"(n * (bL * (0.48746267 ^ n))) * (gaussian(bL * -0.16207157) * 0.031830035)"
15,17.147747,"gaussian((bL * 0.051890947) * n) * ((bL * 0.016930193) * gaussian(bT * -0.20784833))"
17,9.650215,"bL * (gaussian((n * -0.0471868) * bL) * (gaussian(bT * (n * 0.04672261)) * 0.014230999))"
18,2.2606037,"((gaussian(bL * -0.18744494) * (gaussian(bT * 0.19865884) * 0.11045054)) * bL) * exp(n * -0.4975444)"
19,2.0478935,"((gaussian(bT * 0.19863757) * gaussian(bL * -0.18750368)) * (((n ^ n) ^ -0.20012538) * bL)) * 0.047222916"
21,2.045224,"gaussian(bT * 0.1990698) * ((((n * 0.77810824) ^ n) ^ -0.22250743) * ((gaussian(bL * 0.18760842) * bL) * 0.04305331))"
23,1.0563562,"((((((n ^ n) * (0.8933653 ^ bT)) ^ -0.19981475) * gaussian(bT * 0.19929025)) * bL) * 0.04753549) * gaussian(bL * -0.18840937)"
24,0.9620832,"((((n * exp(bT * -0.028745394)) ^ n) ^ -0.20009996) * 0.047465492) * ((gaussian(bL * -0.18816155) * gaussian(bT * 0.19900124)) * bL)"
28,0.93278235,"(((n * exp((0.9103832 ^ bT) * (bT * -0.027427435))) ^ n) ^ -0.19866212) * ((gaussian(bL * -0.18843098) * (bL * gaussian(bT * 0.1942017))) * 0.04724213)"
30,0.93191195,"((gaussian(bL * -0.18811266) * (gaussian(bT * -0.19403575) * 0.046830267)) * (bL * (((exp(((0.9109541 ^ bT) * -0.027394006) * bT) * n) ^ n) ^ -0.19852287))) * 1.0054207"
