Complexity,Loss,Equation
1,31.52573,"0.0028560532"
3,25.547398,"0.47384226 ^ n"
4,25.295553,"gaussian(n ^ 0.4270548)"
5,25.278233,"(0.54934627 ^ n) * 0.33472475"
7,25.276485,"((0.48329604 ^ n) * 0.11714388) * n"
8,18.101692,"gaussian((bT * -0.06891856) * bL) * 0.006236007"
11,12.189202,"gaussian(bT * -0.276447) * (0.024754655 * gaussian(bL * -0.27074042))"
12,8.994176,"(gaussian((bT * bL) * -0.06856745) * 0.46900964) * gaussian(log(n))"
13,2.8718474,"(gaussian(bT * -0.22641778) * gaussian(bL * -0.21008122)) * gaussian(log(n))"
15,1.3752084,"gaussian(log(n)) * ((1.8150747 * gaussian(bL * 0.2675902)) * gaussian(bT * 0.27331546))"
17,1.3743306,"(gaussian(log(n ^ 1.0056722)) * (gaussian(bL * -0.26044038) * gaussian(bT * -0.2678435))) * 1.7575498"
19,1.2442502,"(gaussian(bT * -0.27320984) * 0.5630762) * (gaussian(log(n) ^ 1.1346512) * (n * gaussian(-0.26745933 * bL)))"
23,1.2368344,"gaussian(log(n) * 0.8812949) * (0.7552895 * (exp(((n * bT) * -0.010164579) * bT) * (gaussian(bL * -0.09868617) ^ n)))"
25,1.2367976,"(((gaussian(bL * -0.09884972) ^ n) * exp(bT * (n * (bT * -0.010176422)))) * (gaussian(log(n) * 0.88071185) * 0.93861747)) * 0.8031688"
27,1.2347909,"(gaussian(bL * -0.09847553) ^ n) * ((gaussian(log(n) * 0.8732814) * (0.8518748 * exp((bT * bT) * ((n * -0.10925689) * 0.0925639)))) * 0.8312254)"
