Complexity,Loss,Equation
1,31.525728,"0.002856423"
3,25.547398,"0.4738475 ^ n"
4,25.295551,"gaussian(n ^ 0.42705032)"
5,25.278236,"(0.54896647 ^ n) * 0.33657312"
7,17.66519,"(gaussian(bT) * gaussian(bL)) ^ 0.28116944"
9,12.92,"((gaussian(bT) * gaussian(bL)) ^ 0.088749655) * 0.028712898"
11,2.9690502,"(0.6444067 ^ n) * ((gaussian(bL) * gaussian(bT)) ^ 0.088749655)"
12,1.698689,"((gaussian(bL) * gaussian(bT)) ^ 0.07064344) * exp(n * -0.46881282)"
14,1.2666895,"((gaussian(bL) * gaussian(bT)) ^ 0.07320051) * (exp(n * -0.57262444) * 2.3285255)"
16,1.2392453,"(gaussian(n * -0.1951595) * 0.27509975) * (((gaussian(bT) * gaussian(bL)) ^ 0.1141142) ^ 0.6420359)"
18,1.2389301,"(0.32369336 * (((gaussian(bL) * (gaussian(bT) * 0.095523484)) ^ 0.11992731) ^ 0.6121704)) * gaussian(n * -0.19460218)"
20,1.233435,"((gaussian(bL * 0.37056723) * ((gaussian(n ^ 0.54075867) * n) * gaussian(bT * -0.37956768))) ^ 0.52128184) * 1.1172578"
22,1.2294972,"((gaussian(bT * -0.3745941) * (n * ((gaussian(n ^ 0.55564046) * gaussian(bL * -0.36672926)) * n))) * 0.29188564) ^ 0.52619755"
24,1.2278534,"((n * ((gaussian(bL * -0.36717227) * (n ^ 1.1948119)) * (gaussian(bT * -0.37495667) * gaussian(n ^ 0.5576517)))) ^ 0.5271795) * 0.44791022"
25,1.2265184,"0.41801953 * ((((((gaussian(bT * -0.3891695) * gaussian(bL * -0.3810973)) * gaussian(n ^ 0.5720391)) * n) * log(n)) * n) ^ 0.4886913)"
28,1.2162577,"((((gaussian(bL) * (gaussian(bT) * (((0.1129158 * (gaussian(bT) * exp(bT))) ^ 0.1129158) ^ 0.64549875))) ^ 0.1129158) ^ 0.64549875) * 0.30077362) * gaussian(n * -0.19655976)"
30,1.2127413,"((((gaussian(bL) * (gaussian(bT) * (((0.1129158 * ((0.2196412 * gaussian(bT)) * exp(bT))) ^ 0.1129158) ^ 0.64549875))) ^ 0.1129158) ^ 0.64549875) * 0.30077362) * gaussian(n * -0.19655976)"
