Complexity,Loss,Equation
1,27.482021,"0.0022054536"
3,19.962868,"0.4743377 ^ n"
4,19.722145,"gaussian(n ^ 0.42703325)"
5,19.710966,"(0.54449403 ^ n) * 0.35594812"
7,19.70812,"((0.48197797 ^ n) * 0.119604036) * n"
8,15.08771,"(gaussian(bL * 0.064647354) * 0.50867474) ^ n"
9,14.109805,"((bT * bT) * (4.554782 ^ n)) ^ -0.41183168"
11,14.090903,"(((bT * (4.215304 ^ n)) * bT) ^ -0.41151732) * 0.780092"
12,7.028235,"((3.2192202 ^ n) ^ -0.5477683) * gaussian((bT * bL) * -0.068946674)"
14,5.637271,"gaussian((bT * (bL * -0.06469262)) ^ n) * ((7.0198812 ^ n) ^ -0.33658025)"
15,1.2918983,"(((n ^ n) ^ -0.21851987) * gaussian(bL * 0.28209594)) * gaussian(bT * 0.28506166)"
17,1.1041439,"((7.017876 ^ n) ^ -0.3085242) * ((gaussian(bL * -0.26901814) * gaussian(bT * 0.274031)) * 2.8937461)"
20,1.0980569,"(((3.624869 ^ n) ^ -0.6704091) * (log(n) ^ 4.34328)) * (gaussian(bL * -0.2687137) * gaussian(bT * -0.2738542))"
22,1.0976661,"((((3.3653667 ^ n) ^ -0.71741) * (0.94359016 * gaussian(bT * -0.274428))) * (log(n) ^ 4.5113187)) * gaussian(bL * -0.26894867)"
24,1.0647464,"((gaussian(bL * -0.2692625) * (log(n) ^ 4.3159738)) * ((3.6723597 ^ n) ^ -0.66209775)) * gaussian((bT * gaussian(gaussian(bT))) * -0.27317125)"
26,1.0638294,"(((log(n) ^ 4.444863) * ((3.4563882 ^ n) ^ -0.731076)) ^ 0.933681) * (gaussian(bT * (gaussian(gaussian(bT)) * -0.27249157)) * gaussian(bL * 0.26887482))"
27,0.891368,"((log(n) ^ 4.555243) * gaussian(bL * -0.28453198)) * ((gaussian(bT * (gaussian(bT * 0.05919479) * -0.3145505)) * 1.3946787) * ((3.379618 ^ n) ^ -0.73829776))"
