Complexity,Loss,Equation
1,27.482021,"0.0022054545"
3,19.96287,"0.4743444 ^ n"
4,19.722158,"gaussian(n ^ 0.4270635)"
5,19.710468,"(0.5453849 ^ n) * 0.3528185"
7,17.674978,"(0.47460526 ^ n) * exp(gaussian(bT))"
8,14.205766,"(0.58604896 ^ n) * (gaussian(bT) + 0.17433055)"
10,14.114046,"((0.58775496 ^ n) * (gaussian(bT) + 0.19097982)) + -0.00032328907"
13,13.605775,"(gaussian(bL) + 1.7829132) * ((gaussian(bT) + 0.16031684) * (0.54665154 ^ n))"
14,6.9588256,"gaussian((n * gaussian(gaussian((bT * bL) * 0.023963695))) ^ 0.601022) * 0.24237183"
16,6.64557,"gaussian((n * gaussian(gaussian((bT * 0.0059545496) * (bL * bL)))) ^ 0.6046051) * 0.2342197"
17,2.517772,"(gaussian(gaussian((gaussian(0.20217521 * bL) + gaussian(bT * 0.1878913)) * 0.3575333)) ^ n) * 0.54546326"
19,0.7291024,"gaussian(gaussian((gaussian(bT * 0.15755408) + gaussian(bL * 0.15228455)) * 0.41097376) * (n ^ 0.56220436)) * 0.43247387"
