Complexity,Loss,Equation
1,116.50531,"0.0035483239"
3,77.483116,"0.5043261 ^ n"
5,76.69599,"(0.5587553 ^ n) * 0.46283653"
7,76.69073,"(0.63232094 ^ n) * (1.3668375 / n)"
9,76.69068,"(((2.2776842 ^ n) ^ -0.55599093) * 1.359264) / n"
11,74.109924,"bT * (((0.6527841 ^ n) / (bT + 0.5347465)) / n)"
13,52.180374,"(0.5766716 ^ n) / (((bT * bT) + (-1.4951197 ^ bL)) ^ 0.39086515)"
15,12.0303545,"(0.60357016 ^ n) / (((bL * 0.10624313) * bL) + (bT * (bT / n)))"
17,2.8992684,"(0.57113373 ^ n) / ((((bT * bT) + -8.639203) / n) + ((bL * bL) * 0.13147654))"
19,1.6818744,"((0.60098755 ^ n) / ((((bT * bT) + -5.564405) / n) + (bL * (bL * 0.12876455)))) + -0.0010925661"
