Complexity,Loss,Equation
1,116.50531,"0.0035483239"
3,77.483116,"0.5043261 ^ n"
5,76.69607,"(0.5580814 ^ n) * 0.4671227"
7,76.69069,"(0.6325824 ^ n) / (n / 1.3622292)"
9,57.536797,"(((0.0768032 / bT) / bT) + 0.4891235) ^ n"
11,56.953934,"((((0.082161576 / bT) / bT) + 0.47998932) ^ n) + 0.0005425918"
13,56.95295,"((((-0.07048942 / (bT * -0.86517906)) / bT) + 0.48062038) ^ n) + 0.0005149226"
15,55.297714,"((((0.082190834 / bT) / bT) + 0.47996768) ^ n) + (0.00054310355 / (-1.8087459 + bL))"
17,1.4496678,"(((5.4233003 / ((bL * bL) + ((bT * bT) + 9.003802))) + 0.35349777) ^ n) / 0.93868667"
23,1.3898387,"(((5.4233003 / ((bT / (-2.0868392 * n)) + (((bL * bL) + 8.998691) + (bT * bT)))) + 0.35349777) ^ n) / 0.93868667"
25,1.3602638,"(((5.4233003 / (((bT + -0.78239745) / (-2.0868392 * n)) + (((bL * bL) + 8.998691) + (bT * bT)))) + 0.35349777) ^ n) / 0.93868667"
