Complexity,Loss,Equation
1,39.0026,"0.0"
3,31.851019,"bL * 0.00026159358"
5,30.093767,"(0.34843656 ^ n) * bL"
6,25.021975,"(gaussian(bL) * 0.013944197) * bL"
8,17.15713,"gaussian(bL * -0.49715948) * (bL * 0.0047826804)"
10,13.663951,"(bL * gaussian(bL * (n * -0.055132035))) * 0.0045377547"
12,11.915047,"(gaussian((bL * bT) * (n * -0.04529646)) * 0.0072143483) * bL"
13,9.153219,"(gaussian(bL * -0.38123307) * (bL * 0.006864643)) * gaussian(bT * -0.34934905)"
14,8.744044,"((gaussian(bL * ((bT * 0.049402613) * n)) + 0.023785178) * bL) * 0.007653522"
15,5.0381083,"(gaussian((bL * 0.04589015) * n) * gaussian(bT * -0.33179837)) * (bL * 0.007241194)"
17,3.8383405,"(gaussian((bT * 0.04330748) * n) * 0.0076586427) * (bL * gaussian((n * bL) * 0.045620076))"
19,2.912972,"((gaussian(bL * (n * -0.04941484)) * (gaussian((n * bT) * -0.04866843) * 0.0087747425)) + 0.00011559863) * bL"
21,2.584776,"bL * (((gaussian(bT * (n * 0.048328914)) * gaussian(bL * ((n + -2.6561038) * 0.07521079))) + 0.013356014) * 0.008868157)"
22,2.2417338,"(bL * 0.008935655) * ((gaussian((bT * n) * 0.050219983) * gaussian((n * 0.050219983) * bL)) + gaussian(n * -0.2614143))"
24,2.1088207,"((gaussian((n + -3.8921554) * (bL * -0.09339172)) * gaussian(bT * -0.32450408)) + (gaussian(bL * bT) + 0.014864713)) * (bL * 0.0067231404)"
26,1.6680002,"bL * (((gaussian(bT * bL) + 0.0144974) + (gaussian((n * 0.043245733) * bT) * gaussian(((n + -2.9295251) * bL) * 0.07422332))) * 0.0069145127)"
27,1.4063635,"bL * (((gaussian((bT * n) * 0.045147832) * gaussian((n * bL) * -0.047334615)) + (gaussian(n * -0.25454026) + gaussian(bT * bL))) * 0.0070402226)"
29,1.3903813,"bL * (((gaussian((bL * -0.04729238) * n) * gaussian((bT * n) * 0.045388844)) + (gaussian(n * -0.25503525) + gaussian((bL * bL) * bT))) * 0.0071251765)"
