Complexity,Loss,Equation
1,0.035617597,"0.247766"
3,0.035329793,"n ^ -0.6891866"
5,0.03532898,"(1.2613759 / n) + 0.08091878"
6,0.03198649,"(exp(bL) * -7.984687e-5) + 0.267959"
7,0.025771433,"(bL * (bL * -0.0054868376)) + 0.36247256"
8,0.025715379,"(exp(bL * bL) ^ -0.0070579117) + -0.62041545"
9,0.025532933,"((bL * bL) * (n * -0.0007191349)) + 0.3625701"
10,0.0025726194,"exp((bT * bT) + (bL * bL)) ^ -0.0422675"
12,0.0011059153,"(exp((bT * bT) + (bL * bL)) ^ -0.057013795) / 0.686954"
14,0.00087918405,"((exp((bT * bT) + (bL * bL)) ^ -0.08058011) + 0.030506631) * 1.9902955"
16,0.0008237835,"((exp((bL * bL) + (bT * bT)) ^ -0.0575513) * (0.9499462 ^ n)) * 2.172913"
17,0.00045433955,"((0.6274536 ^ n) + (((exp(bL) ^ bL) * exp(bT * bT)) ^ -0.08134198)) * 2.0056634"
18,0.00045235263,"((exp(n) ^ -0.46989083) + ((exp(bT * bT) * (exp(bL) ^ bL)) ^ -0.0818248)) * 2.039374"
19,0.00039219455,"((0.6313615 ^ n) + (((exp(bL) ^ bL) * (exp(bT * bT) + -1.515602)) ^ -0.0823398)) * 2.0042922"
21,0.00036132082,"(0.7236843 ^ n) + (((((exp(bT * bT) + -1.9010137) * (exp(bL) ^ bL)) ^ -0.07340694) * 1.7319798) + -0.03600457)"
