Complexity,Loss,Equation
1,77.31742,"0.24773839"
3,76.69265,"n ^ -0.6891232"
5,76.690895,"(1.2616998 / n) + 0.0808767"
7,57.92108,"((0.3893895 / bT) / bT) + 0.18497486"
9,44.358536,"((bL * bL) + (bT * bT)) ^ -0.3944897"
11,1.8089916,"(((bT * bT) + (bL * bL)) ^ -1.6223161) * 57.378918"
13,1.7490097,"((((bT + -0.06855158) * bT) + (bL * bL)) ^ -1.6234756) * 57.558548"
15,1.1490853,"(((((bL * bL) + (bT * bT)) ^ -1.7557998) * 84.448555) ^ 0.12769704) ^ n"
17,0.9232722,"((1.6615443 / n) + -0.29985172) + ((((bT * bT) + (bL * bL)) ^ -1.2211821) * 20.43353)"
19,0.814937,"((((bT * bT) + ((bL * bL) + -1.7613057)) ^ -1.2988485) * 21.217531) + ((1.5390699 / n) + -0.24441022)"
21,0.8015059,"((1.553306 / n) + ((((bL * bL) + (-2.2809541 + ((-0.11764611 + bT) * bT))) ^ -1.3132007) * 20.873953)) + -0.23737065"
25,0.7569064,"(((((((1.0288665 * bT) + -0.070893876) * bT) + (bL * bL)) + (n * -0.9437905)) ^ -0.8683991) * (13.32932 * (0.8779447 ^ n))) + -0.08836416"
27,0.7509135,"((((((bL * bL) + ((bT * ((n * -0.009403016) + bT)) * 1.0288666)) + (n * -0.9437905)) ^ -0.8683994) * (0.87794507 ^ n)) * 13.32932) + -0.08836481"
29,0.71674794,"((((((0.9288994 ^ bT) + (((bT * 1.0279404) * bT) + (bL * bL))) + (n * -1.080901)) ^ -0.8579742) * ((0.87310123 ^ n) * 13.317517)) + -0.10048388) ^ 0.94339454"
