Complexity,Loss,Equation
1,337.71713,"0.28017068"
5,335.3037,"(n * -0.012208641) + 0.3407119"
7,259.29413,"((0.34739494 / bT) / bT) + 0.22234629"
9,19.029055,"9.35763 / ((bT * bT) + (bL * bL))"
11,7.1506248,"(11.277496 / ((bT * bT) + (bL * bL))) + -0.07496521"
13,2.2132964,"(n * -0.015933674) + (11.390458 / ((bL * bL) + (bT * bT)))"
15,2.0356612,"(11.540148 / ((bL * bL) + (bT * (bT * 1.032424)))) + (n * -0.015810514)"
17,1.8540374,"(n * -0.018337915) + (12.609562 / ((bL * bL) + (1.3334117 + ((bT / 0.9630863) * bT))))"
19,1.7188189,"(13.560952 / ((((n * -0.33734545) + 4.2302766) + (bL * bL)) + (bT * bT))) + (n * -0.021993393)"
21,1.4192811,"(n * -0.022826396) + (14.211582 / (((bT * (bT * 1.045731)) + (bL * bL)) + ((n * -0.38743004) + 4.9889026)))"
23,1.3962935,"(14.215887 / (((bL * bL) + 4.998952) + ((bT * ((bT * 1.0461547) + -0.028426828)) + (n * -0.3886636)))) + (n * -0.022837022)"
25,1.3938596,"(14.002045 / ((((n * -0.3949752) + 4.804047) + (bL * bL)) + (((bT + -0.027137103) * bT) * 1.0453072))) + ((n + -0.17428462) * -0.023067001)"
27,1.3900002,"(14.056957 / ((((n * -0.40316904) + 4.907107) + (bL * bL)) + (((bT + (n * -0.005570157)) * bT) * 1.0455854))) + ((n + -0.17288902) * -0.023201866)"
29,1.3769552,"(13.706427 / (((n * -0.44635224) + ((bL * bL) + (((bT * n) * 0.013969495) * bT))) + (((bT * 0.97317624) * bT) + 4.7441964))) + (n * -0.021476183)"
