Complexity,Loss,Equation
1,337.71713,"0.28017068"
5,335.3037,"(n * -0.012207893) + 0.340713"
7,259.2941,"(0.34742522 / (bT * bT)) + 0.22234255"
9,250.81094,"((bT * (bT / 0.9163355)) ^ -12.097539) + 0.25556228"
11,179.61646,"(bT * ((bL * (bL / bT)) + bT)) ^ -0.35658237"
13,7.978111,"((((bL * (bL / bT)) + bT) * 0.08917773) * bT) ^ -1.2534002"
15,7.0857234,"(((bT * (((bL * bL) / bT) + bT)) ^ -0.9035557) * 9.024067) + -0.112452984"
17,6.7851353,"((bT * ((bT + ((bL * bL) / (bT / 0.9564848))) * 0.08992291)) ^ -0.8870253) + -0.11843553"
19,2.3835015,"((0.49783623 / n) + (((bT * (bT + ((bL * bL) / bT))) ^ -0.8923723) * 8.846833)) + -0.22499764"
21,2.383267,"(((((((bL * bL) / bT) + bT) * bT) * 0.28102517) ^ -0.8874478) * 2.8376813) + ((0.4980109 / n) + -0.22745252)"
23,2.1027265,"(2.6253555 * ((((bT + ((bL / 1.0446694) * (bL / bT))) * 0.27971384) * bT) ^ -0.8306636)) + (-0.25382882 + (0.49477044 / n))"
25,2.0832455,"(0.49709174 / n) + (-0.24921218 + ((((bT * 0.29981044) * (bT + (((bL * (bL / 1.045336)) / bT) + -0.023036117))) ^ -0.839502) * 2.8000662))"
27,1.9279251,"(((((bT * (bT + ((((n * -0.24989536) + (bL * bL)) / bT) * 0.95727026))) * 0.34164587) ^ -0.76388085) * 2.6731403) + -0.2928355) + (0.59442586 / n)"
29,1.9052835,"(0.59352076 / n) + ((((bT * ((bT + ((0.95711017 * (((bL * bL) + (n * -0.25195554)) / bT)) + -0.026750935)) * 0.33351728)) ^ -0.7676717) * 2.6314037) + -0.29020992)"
