Complexity,Loss,Equation
1,77.341965,"0.2477083"
3,76.710884,"n ^ -0.6892768"
5,76.709435,"(1.2685213 / n) + 0.07993458"
7,56.98534,"((0.9750948 ^ bL) ^ bL) * 0.3894783"
9,54.11086,"2.018557 / (((1.0696054 ^ bL) ^ bL) + 4.4212694)"
11,17.10509,"(((0.90607244 ^ bL) ^ bL) / (bT * bT)) ^ 0.33641267"
13,4.56121,"((0.9489507 ^ bL) ^ bL) * (12.126128 / (n + (bT * bT)))"
15,3.0516162,"((0.9373257 ^ bL) ^ bL) * ((16.657917 / (n + (bT * bT))) + -0.1484932)"
17,1.494071,"((27.265087 / (((bT * bT) + n) + 6.5097585)) + -0.34151816) / ((1.0583752 ^ bL) ^ bL)"
19,1.3437755,"(((27.75673 / (n + ((bT * bT) + 5.294109))) + -0.40824667) / ((1.0686408 ^ bL) ^ bL)) + 0.033216488"
21,1.2023733,"(0.6169669 ^ n) + (((27.400768 / ((n + (bT * bT)) + 5.6353745)) + -0.3868969) / ((1.0656412 ^ bL) ^ bL))"
23,1.1648678,"(0.33272547 / n) + ((((28.066833 / ((n + 5.3437405) + (bT * bT))) + -0.39393306) / ((1.0664282 ^ bL) ^ bL)) ^ 1.1072692)"
25,1.1243954,"((((27.909035 / ((n + ((bT + -0.08077742) * bT)) + 5.2935753)) + -0.38661304) / ((1.0662416 ^ bL) ^ bL)) ^ 1.1151987) + (0.33169687 / n)"
29,1.1139113,"(0.33177614 / n) + ((((27.909061 / (((n + 5.0280037) + (bT * (bT + -0.080735214))) + (n ^ -0.5405403))) + -0.38665786) / ((1.0659415 ^ bL) ^ bL)) ^ 1.1150848)"
