Complexity,Loss,Equation
1,2367.9624,"0.5196471"
3,2351.2478,"n * 0.07680145"
5,1804.3779,"(1.9557056 / bT) / bT"
7,1720.0355,"(2.3436666 / (bT * bT)) ^ 0.6722094"
9,310.6181,"11.687331 / ((bT * bT) + (bL * bL))"
11,159.53651,"(n * 1.7353455) / ((bT * bT) + (bL * bL))"
13,97.34549,"(n * (1.489785 / ((bL * bL) + (bT * bT)))) ^ 1.1770629"
15,30.85505,"(((bL * (bL * 0.08974737)) + (bT / (9.994703 / bT))) ^ -0.16349164) ^ n"
17,9.4897585,"((((bT / (12.706805 / bT)) + ((bL * bL) * 0.070241995)) ^ -0.14196755) ^ n) + -0.19582315"
19,2.6027982,"(((0.08880706 + ((bL * (bL * 0.062304694)) + (bT / (14.1968775 / bT)))) ^ -0.2044292) ^ n) * 0.7199764"
21,1.9485182,"((((((bL * (bL * 0.061540116)) + 0.052692313) + (bT / (14.372044 / bT))) ^ -0.17881125) ^ n) + -0.08072184) * 0.7573902"
23,1.895476,"(((((bL * (0.0620138 * bL)) + ((bT / (14.243657 / bT)) + 0.053050052)) ^ -0.17990093) ^ n) * 0.7592223) + (-0.36488736 / n)"
27,1.881287,"(((((((bT * 1.2631755) / (13.296016 / (bT / 1.3332775))) + ((bL * bL) * 0.06273021)) + 0.04455352) ^ -0.17359549) ^ n) * 0.78292245) + (-0.49192938 / n)"
29,1.8811215,"(-0.49192938 / (n + -0.009903537)) + ((((((bT * (1.2631755 / (13.296016 / (bT / 1.3332775)))) + ((bL * 0.06273021) * bL)) + 0.04455352) ^ -0.17359549) ^ n) * 0.78292245)"
