Complexity,Loss,Equation
1,2367.9624,"0.51964474"
3,2351.2478,"n * 0.07680148"
5,1805.8824,"1.9535044 / (bT * bT)"
7,1721.2152,"(2.341257 / (bT * bT)) ^ 0.6715484"
9,310.61954,"11.686393 / ((bL * bL) + (bT * bT))"
11,159.5396,"(n * 1.7353072) / ((bT * bT) + (bL * bL))"
13,82.34868,"(n / (((bL * bL) + (bT * bT)) ^ 0.8276338)) ^ 1.4118912"
15,12.977998,"(((13.452276 / ((bT * bT) + (bL * bL))) ^ 0.14164768) ^ n) + -0.19696109"
17,7.1001024,"(((15.014833 / ((bT * bT) + ((bL * bL) + 1.1467999))) ^ 0.19763635) ^ n) * 0.7163169"
19,2.688689,"(((14.467448 / ((bT * bT) + (((bL * bL) * 0.8807205) + 1.1986938))) ^ 0.20169152) ^ n) * 0.69827133"
21,1.8954297,"((((14.498567 / (((bL * bL) * 0.88174796) + ((bT * bT) + 0.7806955))) ^ 0.17963575) ^ n) + -0.08225214) * 0.74713296"
23,1.7652973,"(-0.42022207 / n) + ((((14.472327 / ((bT * bT) + ((bL * (0.88195074 * bL)) + 0.7545409))) ^ 0.17845392) ^ n) * 0.7501782)"
25,1.7645361,"((((14.460201 / ((((bL * 0.88275045) * bL) + (bT * bT)) + 0.749961)) ^ 0.17821856) ^ n) * 0.7519712) + (-0.41948882 / (n ^ 0.99354005))"
29,1.6101785,"((-0.58820206 / ((-0.33836576 / (bL + -0.09945749)) + n)) + (((14.460777 / (((bT * bT) + (bL * (bL * 0.8753048))) + 0.7331136)) ^ 0.17766541) ^ n)) * 0.7485068"
