Complexity,Loss,Equation
1,2969.133,"0.5398516"
3,2948.648,"n / 12.511292"
5,2265.933,"2.092117 / (bT * bT)"
7,2186.086,"((n * 0.31247994) / bT) / bT"
9,477.48947,"11.165701 / ((bL * bL) + (bT * bT))"
11,246.94194,"(n / ((bT * bT) + (bL * bL))) * 1.6778753"
13,171.88547,"n * ((n * 0.2338951) / ((bT * bT) + (bL * bL)))"
15,68.77649,"((n / ((bL * bL) + ((bT * bT) + 3.0366442))) + 0.45687762) ^ 3.0107799"
17,25.510937,"(13.158504 / ((6.8919153 + ((bT * bT) + (bL * bL))) + (-0.63862276 * n))) ^ 1.6437396"
19,19.787159,"(12.082588 / (((bL * (bL * 0.865215)) + (n * -0.58270943)) + ((bT * bT) + 6.1650615))) ^ 1.6152434"
21,16.786556,"((11.780267 / ((bL * (bL * 0.8706995)) + (((n * -0.60055727) + 6.669468) + (bT * bT)))) ^ 1.8018237) + 0.066850446"
23,16.029314,"(n + 7.774691) / (((((4.5791864 + ((bL * 0.8576393) * bL)) + (bT * bT)) + (n * -0.43675128)) ^ 1.483413) / 2.5296884)"
25,11.883396,"(n + 8.413732) / (((((((bT * bT) + 3.901786) + (n * -0.4874685)) + ((0.8911305 * bL) * bL)) ^ 1.3625765) / 1.6808803) + 0.5945978)"
27,11.063297,"(((2.4714975 / n) + ((n + 10.62111) / (((bL * bL) * 0.8788214) + (((bT * bT) + (n * -0.43317497)) + 5.392373)))) ^ 2.0050569) / 3.3241475"
29,6.4001536,"(((((n + 3.9152608) / (((n * -0.35862008) + (((bL * bL) * 0.86697966) + 4.3826632)) + (bT * bT))) + (3.42756 / n)) ^ 1.8917605) / 1.6036208) + -0.22404467"
