Complexity,Loss,Equation
1,132.6345,"0.26096153"
3,131.89285,"n ^ -0.7101366"
5,131.60025,"(n * -0.016346704) + 0.371291"
7,99.78243,"(0.38212043 / (bT * bT)) + 0.19882752"
9,13.799968,"8.787299 / ((bL * bL) + (bT * bT))"
11,2.7704914,"(11.933398 / ((bT * bT) + (bL * bL))) ^ 1.4899926"
13,1.0836095,"(11.994457 / ((bT * bT) + (bL * bL))) + (n * -0.018865818)"
15,0.90301466,"(12.256232 / ((bT * (bT / 0.94978434)) + (bL * bL))) + (n * -0.01870017)"
17,0.8773237,"(n * -0.021133935) + ((12.21209 / ((bL * bL) + ((bT * bT) / 0.9493325))) + 0.018272467)"
19,0.79394734,"((9.976967 / (((bT * (bT / 0.9605608)) + -2.5316992) + (bL * bL))) + 0.05121246) + (n * -0.021078834)"
21,0.75171137,"(-0.02109224 * n) + ((11.651515 / ((bL * bL) + (bT * bT))) + (((0.041750703 / bT) / bT) + 0.019642279))"
23,0.73123926,"(n * -0.021072296) + ((11.649809 / ((bT * (bT + -0.03856089)) + (bL * bL))) + (((0.04181205 / bT) / bT) + 0.01954605))"
25,0.72019,"(n * -0.021058157) + (((((0.56945956 / bT) / bT) + 10.274506) / (((bT + -0.038457673) * bT) + ((bL * bL) + -1.5804029))) + 0.043846775)"
27,0.7150055,"((n * -0.02217912) + 0.04819507) + ((10.308059 / ((-0.75652 ^ n) + (((bL * bL) + -1.7092968) + (bT * bT)))) + ((0.03424171 / bT) / bT))"
29,0.71163136,"(n * -0.0222205) + ((10.316161 / ((bL * bL) + ((((-0.79494977 / bT) + -0.08371242) / bT) + (((-0.75374323 ^ n) + -1.6016649) + (bT * bT))))) + 0.051795878)"
