Complexity,Loss,Equation
1,2367.9624,"0.51964056"
3,2351.2478,"n * 0.07680145"
5,1805.8823,"(1.9532212 / bT) / bT"
7,1721.2152,"(bT * (bT / 2.341302)) ^ -0.67152864"
9,310.6181,"11.687396 / ((bT * bT) + (bL * bL))"
11,159.53651,"n / (((bT * bT) + (bL * bL)) * 0.5762788)"
13,97.34549,"((n / ((bT * bT) + (bL * bL))) * 1.4898078) ^ 1.1770366"
15,63.17851,"10.765283 / ((n * -0.37327424) + (((bT * bT) + (bL * bL)) + 2.3589842))"
17,27.301895,"(13.686869 / (((n * -0.47908184) + (3.5771024 + (bT * bT))) + (bL * bL))) + -0.179037"
19,21.503096,"((n + 6.0395885) / ((n * -0.36959305) + ((bL * bL) + (2.6572452 + (bT * bT))))) + -0.15062605"
21,18.884064,"((n + 5.400458) / ((bT * bT) + (((n * -0.34314075) + (bL * (bL * 0.8956422))) + 2.4629507))) + -0.15289709"
23,11.192361,"(n * -0.0916383) + (((n / (((n * -0.3012137) + (bL * bL)) + ((bT * bT) + 2.137969))) + 0.25590783) / 0.5384153)"
25,7.9618936,"(n * -0.09278024) + (((n / (((n * -0.28861445) + ((bL * (bL * 0.8860515)) + 2.067013)) + (bT * bT))) + 0.27040133) / 0.5653684)"
27,7.6900654,"(n * -0.08551102) + (((1.6140661 / ((((bT * bT) + 2.135708) + (n * -0.29847455)) + ((bL * 0.8847501) * bL))) * (n + 0.6627813)) + 0.4278684)"
