Complexity,Loss,Equation
1,2367.9622,"0.5195207"
3,2351.2478,"n * 0.0768015"
4,2129.7263,"inv(bT * bT)"
5,1805.8824,"1.9535278 / (bT * bT)"
6,1805.8823,"inv((bT * bT) * 0.51194906)"
7,1721.2151,"((bT * bT) ^ -0.6715246) / 0.5648755"
9,310.61954,"11.687303 / ((bL * bL) + (bT * bT))"
11,140.25406,"(n ^ 1.2800785) / ((bT * bT) + (bL * bL))"
12,140.06561,"inv(((bL * bL) + (bT * bT)) / (n ^ 1.2840724))"
13,82.34868,"(n / (((bT * bT) + (bL * bL)) ^ 0.8276499)) ^ 1.4118932"
14,75.93889,"inv((((bT * bT) + (bL * bL)) / (n ^ 1.1801432)) - 0.057586823)"
15,73.09439,"((n * 1.6983846) / (((bT * bT) + (bL * bL)) - -1.3973395)) ^ 1.5062132"
16,51.31474,"inv(((((bT * bT) + (bL * bL)) + 1.2790508) / (n * 1.5071502)) - 0.15478091)"
18,34.514893,"inv(((((bL * bL) + (bT * bT)) + 1.6614013) / (n * 1.740866)) - 0.14656517) + -0.115328"
19,34.382996,"inv((inv(n) + (0.57194763 * (((bL * bL) + (bT * bT)) / n))) - 0.15126479) - 0.11638743"
20,23.209503,"inv((((((bL * bL) + (bT * bT)) + 4.3353825) / (4.3353825 - (n / -0.98315644))) + -0.3192295) ^ 1.2726213)"
21,16.634777,"(inv(inv(n) + ((((bL * bL) + (bT * bT)) / (n + 20.385792)) + -0.1360677)) / 2.0035055) + -0.17602721"
22,12.155561,"((4.652174 / n) + inv(((((bL * bL) + (bT * bT)) + 2.069013) / (n * 1.8569199)) - 0.15771027)) - 0.8460974"
24,8.866081,"((4.5929213 / n) + inv((((((bT * bT) / 0.88980055) + (bL * bL)) + 2.2652118) / (n * 1.9782609)) - 0.1611655)) - 0.83871734"
