Complexity,Loss,Equation
1,2367.9622,"0.5195207"
3,2129.7263,"square(inv(bT))"
4,1805.8824,"1.9535351 / square(bT)"
6,1680.6572,"inv(square(square(bL) + -1.5324506))"
7,1343.6522,"square(-1.1477292 + square(bL)) ^ -0.29460603"
8,310.61954,"inv(square(bT) + square(bL)) * 11.687329"
10,140.06561,"inv((square(bL) + square(bT)) / (n ^ 1.2840643))"
11,75.05037,"(((square(bL) + square(bT)) ^ -0.2944134) + 0.49679023) ^ n"
12,35.12298,"square((((square(bL) + square(bT)) / 10.236415) ^ -0.08269635) ^ n)"
13,12.044858,"((((square(bT) + square(bL)) ^ -0.22359054) + 0.45712852) ^ n) - 0.3124432"
14,9.899018,"square(((((square(bL) + square(bT)) / 17.615046) ^ -0.066397496) ^ n) + -0.26136053)"
15,7.4589567,"(((((square(bT) + square(bL)) / 16.521147) ^ -0.1427645) ^ n) + -0.20795391) / 1.2817017"
16,6.605248,"square(((((square(bL) + (0.4798689 + square(bT))) / 16.466208) ^ -0.0752204) ^ n) + -0.21653618)"
17,4.2839355,"(((((square(bT) + square(bL * 0.94192284)) / 15.81342) ^ -0.14059117) ^ n) + -0.23169701) * 0.79562294"
18,2.5772047,"(((((square(bT) / 14.287184) + (bL * (bL * 0.06186759))) + 0.09189861) ^ -0.2060171) ^ n) * 0.71655303"
20,1.9398208,"(((((((bL * bL) * 0.0617228) + 0.05509564) + (square(bT) / 14.27932)) ^ -0.18065588) ^ n) * 0.7561972) - 0.058204647"
22,1.7628502,"(((((((bL * bL) * 0.061704222) + (square(bT) / 14.279474)) + 0.053202692) ^ -0.1790637) ^ n) - (n ^ -1.3228544)) * 0.7605404"
23,1.7514349,"(((((square(bT) / 14.27932) + (((bL * bL) * 0.061766047) + 0.05510917)) ^ -0.18062378) ^ n) - inv(n + n)) * 0.7561956"
25,1.7473887,"((((((bL * (bL * 0.0617663)) + (square(bT) / 14.27932)) + 0.05510916) ^ -0.18062365) ^ n) * 0.7561956) - inv((n + -0.5488394) / 0.34869274)"
