Complexity,Loss,Equation
1,0.8025265,"0.51974523"
3,0.79682535,"n * 0.07682478"
4,0.5846522,"Lorentzian(bT) * 3.5942569"
6,0.5631408,"(n * Lorentzian(bT)) * 0.53545237"
7,0.17576332,"(Lorentzian(bL) * 21.993742) * Lorentzian(bT)"
9,0.112519465,"((n ^ 1.6041423) * Lorentzian(bT)) * Lorentzian(bL)"
11,0.05363961,"((n * Lorentzian(bL * 0.50787383)) ^ 1.4432602) * Lorentzian(bT)"
13,0.036128946,"(((Lorentzian(bT) * Lorentzian(bL * 0.6635749)) ^ 0.16204737) * 1.5398703) ^ n"
15,0.029182242,"(((Lorentzian(bL * -0.47731665) * Lorentzian(bT * -0.5736224)) ^ 0.22578682) * 1.4420092) ^ n"
17,0.02845934,"(Lorentzian(Lorentzian(bL)) * 0.9720912) * ((((Lorentzian(bL) * Lorentzian(bT)) ^ 0.14197241) * 1.6389439) ^ n)"
18,0.009576995,"(((Lorentzian((Lorentzian(bT) * (bL * bT)) * 1.3374766) * Lorentzian(bT)) ^ 0.18240364) * 1.5833609) ^ n"
20,0.004787502,"(((Lorentzian(bT * (Lorentzian(bT * 1.3512372) * (bL * 1.8660892))) * Lorentzian(bT)) ^ 0.19520746) * 1.6055316) ^ n"
22,0.0010835634,"((((Lorentzian(bT) * Lorentzian(((bT * 2.2425532) * Lorentzian(bT * 1.5478895)) * bL)) ^ 0.19622882) * 1.6721408) ^ n) * 0.73360646"
