Complexity,Loss,Equation
1,0.8025265,"0.5199031"
3,0.79682535,"n * 0.076854214"
4,0.5846522,"Lorentzian(bT) * 3.5941477"
6,0.5631408,"n * (Lorentzian(bT) * 0.53545207)"
7,0.17576332,"Lorentzian(bL) * (Lorentzian(bT) * 21.993742)"
9,0.123563506,"Lorentzian(bL * 0.6809217) * (Lorentzian(bT) * 16.19375)"
11,0.05363961,"Lorentzian(bT) * ((n * Lorentzian(bL * 0.50787294)) ^ 1.443302)"
13,0.03610335,"(((Lorentzian(bT) * 14.525115) * Lorentzian(bL * 0.6662505)) ^ 0.16062409) ^ n"
15,0.03185174,"((((Lorentzian(bT) * 20.02748) * Lorentzian(bL * 0.6655683)) ^ 0.1567026) ^ n) * 0.70495963"
17,0.031826146,"(((((Lorentzian(bT) * 12.357689) * Lorentzian(bL * -0.6667792)) ^ 0.15694828) * 1.0820138) ^ n) * 0.68782705"
18,0.01289881,"((((Lorentzian(bL * Lorentzian(bT * -0.64005995)) * Lorentzian(bT)) * 12.917739) ^ 0.2143087) ^ n) * 0.7129551"
20,0.0028791893,"((((Lorentzian(bT) * 13.689628) * Lorentzian((bL * Lorentzian(bT * 0.4334119)) * 0.7794729)) ^ 0.19601735) ^ n) * 0.736113"
22,0.0010571865,"((((Lorentzian(bT) * 15.072938) * Lorentzian(((bL * -2.032696) * Lorentzian(bT * 1.4318923)) * bT)) ^ 0.19062528) ^ n) * 0.68308216"
24,0.0010523736,"((((Lorentzian(((bT * -2.0302498) * bL) * Lorentzian(bT * 1.4297689)) * (15.063363 * Lorentzian(bT))) ^ 0.2942712) ^ n) * 0.55598325) ^ 0.64831287"
26,0.001051298,"(((((Lorentzian(Lorentzian(bT * 1.4460455) * (bT * (bL * -2.0599766))) * (Lorentzian(bT) * 15.04618)) ^ -1.1214249) ^ n) * 0.16624448) ^ -0.17043309) * 0.50179964"
28,0.0010006703,"(((((Lorentzian(bT) * 15.069747) * Lorentzian(((((1.0053569 ^ n) * 2.0216944) * bT) * Lorentzian(bT * 1.470806)) * bL)) ^ 0.3074429) ^ n) ^ 0.62589824) * 0.67058235"
