Complexity,Loss,Equation
1,2367.9622,"0.5195207"
3,2351.2478,"n * 0.076801494"
5,428.45355,"Lorentzian(bT, bL) * 14.227303"
7,267.73178,"(Lorentzian(bL, bT) ^ 1.34851) * 27.476803"
9,70.98177,"(n * (Lorentzian(bT, bL) ^ 0.798308)) ^ 1.757667"
11,25.852024,"(((Lorentzian(bT, bL) * n) ^ 0.18247192) ^ n) * 1.9400301"
13,8.607306,"(((Lorentzian(bT, bL) * (n * 0.3872093)) ^ 0.19106692) ^ n) * n"
15,4.6017556,"n * ((((n * Lorentzian(bL * -0.9382697, bT)) * 0.37184843) ^ 0.19296686) ^ n)"
17,3.3858616,"n * (((((Lorentzian(bL * -0.93674546, bT) * 0.34226772) * n) ^ 0.19564357) ^ n) * 1.1428233)"
19,3.248068,"((((n * Lorentzian(bL * -0.9353315, bT)) * 0.274119) ^ 0.19611986) ^ n) * ((n * 0.8637562) ^ 1.32764)"
21,3.2256894,"((n ^ 1.3631018) * (((((n * 0.26832584) * Lorentzian(bL * 0.93528503, bT)) ^ 0.2704752) ^ n) ^ 0.7233443)) * 0.78956145"
23,3.2256854,"(((((n * (Lorentzian(bL * 0.9366739, bT) * 0.26298186)) ^ 0.26769194) ^ n) ^ 0.72904366) * 0.98884535) * ((n * 0.82593286) ^ 1.3979125)"
25,1.9595094,"((((n * (Lorentzian(bL * -0.8993669, bT) * 0.2864066)) ^ 0.19012605) ^ n) * n) * (1.7178897 * ((Lorentzian(bL, -3.8324785) * n) ^ 0.24252643))"
27,1.9266775,"((Lorentzian(-4.1607447, bL) * (n ^ 1.7124428)) ^ 0.26135847) * ((n * (((n * (Lorentzian(bL * -0.9010518, bT) * 0.24916466)) ^ 0.19043796) ^ n)) * 1.5286884)"
