Complexity,Loss,Equation
1,2367.9624,"0.519903"
3,2351.2478,"n * 0.07680148"
5,428.4535,"Lorentzian(bL, bT) * 14.226104"
7,267.73178,"(Lorentzian(bT, bL) * 11.669916) ^ 1.348478"
9,18.115936,"((Lorentzian(bT, bL) ^ 0.19736716) * 1.6229279) ^ n"
11,7.5239844,"(((Lorentzian(bL, bT) ^ 0.19332439) * 1.6857697) ^ n) * 0.7137891"
13,3.2302525,"(((Lorentzian(bL * -0.9373363, bT) ^ 0.1958231) * 1.6741041) ^ n) * 0.7247679"
15,3.2071164,"((((Lorentzian(bL * -0.9368048, bT) ^ 0.21267386) * 1.7537178) ^ n) * 0.69284886) ^ 0.9205964"
17,1.7853001,"Lorentzian(bL * -0.10693493, 0.6006705) * ((1.6592242 * (Lorentzian(-0.9084938 * bL, bT) ^ 0.19205427)) ^ n)"
19,1.5752883,"Lorentzian((bL * -0.01828087) * bL, 0.62041384) * (((Lorentzian(bL * -0.9271882, bT) ^ 0.19361246) * 1.6681322) ^ n)"
21,1.371123,"(((Lorentzian(bL * -0.9308711, bT) ^ 0.19391145) * 1.6695255) ^ n) * Lorentzian((bL * bT) * (bL * 0.00626072), -0.6207435)"
23,1.3065133,"((((Lorentzian(bL * -0.9336548, bT) ^ 0.20052369) * 1.7038959) ^ n) ^ 0.9625258) * Lorentzian((bT * bL) * (bL * 0.006444372), -0.6332365)"
