Complexity,Loss,Equation
1,2367.9624,"0.5196228"
3,2351.2478,"n * 0.07680148"
5,541.643,"Lorentzian(bT, bL) * 68.61476"
7,267.73178,"(Lorentzian(bL, bT) * 136.18935) ^ 0.67423314"
9,18.119263,"((Lorentzian(bT, bL) * 135.81546) ^ 0.098495394) ^ n"
11,7.525677,"(((Lorentzian(bL, bT) * 223.69977) ^ 0.09657984) ^ n) * 0.7105031"
13,3.7655838,"(((Lorentzian(bL * 0.9447337, bT) * 223.68277) ^ 0.09647584) ^ n) * 0.67132384"
15,3.2053316,"((((Lorentzian(bL * 0.93559533, bT) * 196.69768) ^ 0.34760436) ^ n) ^ 0.2813353) * 0.714623"
23,3.1409993,"(((((((Lorentzian(bL * -0.5880692, bT) ^ 0.16841988) * Lorentzian(bL, bT)) * 480.173) ^ 0.25466743) ^ n) ^ 0.4963071) ^ 0.6643545) * 0.7148478"
25,2.1785042,"(((((((Lorentzian(bL * (bL * -0.16438133), bT) ^ 0.12178217) * 380.70007) * Lorentzian(bL, bT)) ^ 0.2927049) ^ n) ^ 0.44117707) ^ 0.66927296) * 0.71668315"
