Complexity,Loss,Equation
1,337.71713,"0.28017065"
5,59.013313,"Lorentzian(bT, bL) * 12.896689"
7,21.628832,"Lorentzian(bT * 0.7372562, bL) * 10.132563"
9,7.7110014,"(Lorentzian(bL * 0.69752324, bT) ^ 1.2961377) * 24.630007"
13,5.149152,"((Lorentzian(bL * -0.69863456, bT) * (0.9705984 ^ n)) * 13.731159) ^ 1.2913527"
15,5.134245,"((Lorentzian(bL * -0.68333274, bT) ^ 1.2597857) * (Lorentzian(n, bL) ^ 0.12896669)) * 36.36202"
17,5.091806,"(Lorentzian(n ^ 0.7899434, bL) ^ 0.1828779) * ((Lorentzian(bL * -0.6636459, bT) ^ 1.2243974) * 35.844467)"
19,5.033052,"((Lorentzian(bL * 0.6565018, bT) ^ 1.2063397) * 38.893238) * (Lorentzian((n ^ 0.6166006) * 1.34665, bL) ^ 0.22276212)"
21,4.1363688,"(Lorentzian((Lorentzian(n * (bT * 0.09475525), bL) * (Lorentzian(0.8701539, bL) * 9.196406)) ^ -0.30851322, bT) ^ 1.2027739) * 22.304592"
23,4.0046067,"(Lorentzian((Lorentzian((n * bT) * -0.09791363, bL) * (Lorentzian(bT * 0.20571505, bL) * 8.411847)) ^ -0.31026673, bT) ^ 1.1607425) * 20.055464"
25,3.8516114,"(Lorentzian(((Lorentzian((bL * 0.16325495) ^ n, bL) * 6.475779) * Lorentzian(bT * (n * 0.09389312), bL)) ^ -0.2820413, bT) ^ 1.2058371) * 21.702005"
