Complexity,Loss,Equation
1,337.71713,"0.28017068"
4,336.79507,"Lorentzian(n ^ 0.29936174)"
5,285.23874,"Lorentzian(Lorentzian(bT) ^ -0.19047062)"
6,248.99031,"Lorentzian(bL * -0.16044946) * 0.414222"
7,181.21762,"(Lorentzian(bL) * Lorentzian(bT)) ^ 0.24632494"
8,164.27414,"Lorentzian((bT * bL) * -0.06511694) * 0.49038333"
9,51.313915,"Lorentzian(bL * -0.22543442) * Lorentzian(bT * -0.25030294)"
11,17.69007,"Lorentzian(bT * 0.27311698) * Lorentzian((bL * 0.045881916) * bL)"
13,11.17642,"(Lorentzian(bT * -0.10143275) ^ 4.604944) * Lorentzian(bL * (bL * 0.049241334))"
14,7.839534,"((Lorentzian((Lorentzian(bT) ^ 0.5024139) * bL) * 12.010609) * Lorentzian(bT)) ^ 1.3033022"
15,7.630175,"Lorentzian(((Lorentzian(bT) * Lorentzian(bL * (Lorentzian(bT) ^ 0.49718758))) * 21.021841) ^ -0.9856871)"
17,6.7816577,"Lorentzian(((Lorentzian(bT) * 20.614697) * Lorentzian(((Lorentzian(bT) * 0.87988687) ^ 0.47143716) * bL)) ^ -0.95296055)"
18,5.340324,"(((n ^ -0.16149752) * (Lorentzian(bL * (Lorentzian(bT) ^ 0.50251013)) * Lorentzian(bT))) * 15.466199) ^ 1.2995498"
19,3.704269,"Lorentzian((Lorentzian((Lorentzian(bT) ^ 0.49729586) * bL) * (30.661121 * (Lorentzian(bT) * (n ^ -0.237946)))) ^ -0.98856854)"
21,2.9501007,"Lorentzian((Lorentzian(bT) * ((n ^ -0.24337177) * (30.364513 * Lorentzian(((Lorentzian(bT) ^ 0.4731212) * bL) * 0.9449064)))) ^ -0.95783025)"
23,2.8381395,"Lorentzian(((Lorentzian((bL * (Lorentzian(bT) ^ 0.46566927)) * 0.9286698) * ((n ^ -0.26314804) * Lorentzian(bT))) * 36.383167) ^ -1.0399989) * 0.8671605"
25,2.7866879,"Lorentzian(((((Lorentzian(bT) * (n ^ -0.25924805)) * Lorentzian(((Lorentzian(bT) ^ 0.4658005) * bL) * 0.9283804)) * 32.71744) ^ -0.7738271) * -0.73307014) ^ 1.7220838"
