Complexity,Loss,Equation
1,337.71713,"0.28017065"
4,335.8121,"Lorentzian(f1(n), 0.52051455)"
5,53.604034,"Lorentzian(bT, bL) * 212.58879"
7,7.847711,"(Lorentzian(bT, bL) * 144.92075) ^ 0.64977616"
9,7.7110195,"(Lorentzian(bL * 0.9866222, bT) * 140.43204) ^ 0.64829224"
11,4.9087973,"(((Lorentzian(bT, bL) * 357.2114) ^ 0.13585721) ^ n) * 0.5552046"
13,4.816181,"(n * (((Lorentzian(bL, bT) * 94.63752) ^ 0.13584073) ^ n)) * 0.2810449"
14,4.665807,"(((Lorentzian(bT, bL) * 262.27182) ^ 0.13575806) ^ n) * (f1(n) * 0.86806875)"
15,4.639214,"((((Lorentzian(bT, bL) * 159.8105) ^ 0.22411698) ^ n) * (n * 0.19134514)) ^ 0.6055646"
17,2.4052663,"(((Lorentzian(bL, bT) * 281.97958) ^ 0.06691777) ^ n) * ((Lorentzian(bL, bT) ^ 0.32725462) * 4.1275296)"
18,1.451639,"(((Lorentzian(bL, bT) * 288.31213) ^ 0.078672096) ^ n) * f1((Lorentzian(bT, bL) ^ 0.25005093) * 10.911469)"
20,1.0513093,"f1((Lorentzian(bT, bL) ^ 0.24223295) * 10.147746) * (((Lorentzian(bL * 0.9653592, bT) * 279.92188) ^ 0.07798211) ^ n)"
24,0.85883385,"f1(f1(Lorentzian(1.4137555, bT))) * ((((Lorentzian(bL, bT) * 288.42032) ^ 0.072339125) ^ n) * f1((Lorentzian(bT, bL) ^ 0.24131086) * 9.871847))"
