Complexity,Loss,Equation
1,132.6345,"0.26094773"
4,131.89287,"square(n ^ -0.35508823)"
5,7.815875,"lor(bL, bT) * 202.97865"
7,2.7387586,"(lor(bT, bL) * 163.47942) ^ 0.7731551"
9,2.5390677,"lor(bL * 0.32124949, bT * 0.32753986) * 4.5169096"
11,2.5140412,"lor((bT * -0.3284693) + 0.006575664, bL * -0.32212007) * 4.5476055"
13,1.4096807,"(6.064864 + (n * -0.23562309)) * lor(bL * -0.32029182, -0.3264389 * bT)"
14,1.065857,"(lor(bL * -0.23899, bT * -0.24569432) * 2.4985092) + (square(n) * -0.0011259364)"
15,0.8070762,"((n * -0.02106228) + (lor(bL * -0.30174968, bT * -0.30794418) * 3.922929)) + 0.13276583"
16,0.7983382,"(square(n) * -0.0014189717) + (0.05670454 + (lor(bT * 0.30798563, bL * -0.30179623) * 3.9245152))"
17,0.7846968,"((lor(bL * -0.30183518, (bT * -0.30799264) + 0.0058911424) * 3.9230654) + (n * -0.021058315)) + 0.13287386"
18,0.77590376,"(lor((bT * 0.30798864) + -0.0059043616, bL * -0.3017961) * 3.9245157) + ((square(n) * -0.001419691) + 0.05670541)"
20,0.7096972,"((lor(bT * -0.30162987, (lor(2.9512122, bT) + -0.3037699) * bL) + 0.015290883) * 3.7565336) + (square(n) * -0.0014157207)"
21,0.70869285,"(3.562157 * (lor((lor(square(bT), 3.0771258) + -0.29482266) * bL, -0.29482266 * bT) + 0.015429817)) + (-0.001428394 * square(n))"
22,0.6850422,"((lor((bT * -0.30019063) + 0.0060194125, (lor(bT, -2.9438312) + -0.30219114) * bL) + 0.015385603) * 3.712399) + (square(n) * -0.0014173512)"
24,0.681133,"((lor((bT * -0.30240145) + lor(-2.9380813, bL), (lor(bT, -2.8996608) + -0.30502144) * bL) + 0.015417067) * 3.7754476) + (square(n) * -0.0014122789)"
