,complexity,loss,equation,score,sympy_format,lambda_format
0,1,276.43433,0.005040839,0.0,0.00504083900000000,PySRFunction(X=>0.00504083900000000)
1,3,171.56175,0.49875718 ^ n,0.2385150140616668,0.49875718**n,PySRFunction(X=>0.49875718**n)
2,4,167.5698,decay(n ^ 0.80833286),0.023543279228736065,exp(-n**0.80833286),PySRFunction(X=>exp(-n**0.80833286))
3,5,130.85486,"lor(n, bL) * 34.16954",0.24731121082906193,34.16954/(bL**2 + n**2 + 1)**2,PySRFunction(X=>34.16954/(bL**2 + n**2 + 1)**2)
4,7,68.93352,"(11.584338 - n) * lor(bT, bL)",0.32047310407946566,(11.584338 - n)/(bL**2 + bT**2 + 1)**2,PySRFunction(X=>(11.584338 - n)/(bL**2 + bT**2 + 1)**2)
5,9,30.807978,"(10.156917 - n) * (lor(bL, bT) ^ 0.8887713)",0.40268443974037316,(10.156917 - n)*((bL**2 + bT**2 + 1)**(-2))**0.8887713,PySRFunction(X=>(10.156917 - n)*((bL**2 + bT**2 + 1)**(-2))**0.8887713)
6,11,5.158913,"square(square((lor(bT, bL) ^ 0.18031308) * (7.0522256 / n)))",0.8935238920125411,2473.45940803668*((bL**2 + bT**2 + 1)**(-2))**0.72125232/n**4,PySRFunction(X=>2473.45940803668*((bL**2 + bT**2 + 1)**(-2))**0.72125232/n**4)
7,12,4.7633114,"square((n - 14.485626) / n) * (lor(bT, bL) ^ 0.7302182)",0.0797827997425862,((n - 1*14.485626)**2/n**2)*((bL**2 + bT**2 + 1)**(-2))**0.7302182,PySRFunction(X=>((n - 1*14.485626)**2/n**2)*((bL**2 + bT**2 + 1)**(-2))**0.7302182)
8,14,3.934378,"((lor(bT, bL) ^ 0.6954755) / 2.6322825) * exp((n - 8.68932) * -0.534084)",0.09559514894211892,((bL**2 + bT**2 + 1)**(-2))**0.6954755*exp((n - 1*8.68932)*(-0.534084))/2.6322825,PySRFunction(X=>((bL**2 + bT**2 + 1)**(-2))**0.6954755*exp((n - 1*8.68932)*(-0.534084))/2.6322825)
9,16,2.0260298,"((exp((n - 8.994358) * -0.46820307) * (lor(bT, bL) ^ 0.6292636)) / 3.5930288) - 0.0012706916",0.33183734312805474,((bL**2 + bT**2 + 1)**(-2))**0.6292636*exp((n - 1*8.994358)*(-0.46820307))/3.5930288 - 1*0.0012706916,PySRFunction(X=>((bL**2 + bT**2 + 1)**(-2))**0.6292636*exp((n - 1*8.994358)*(-0.46820307))/3.5930288 - 1*0.0012706916)
10,17,1.9917132,"(((10.461691 / n) ^ 2.3353815) * (((lor(bL, bT) ^ 0.6073311) / 0.593981) / n)) + -0.0016621732",0.017082941610836528,-0.0016621732 + (10.461691/n)**2.3353815*((bL**2 + bT**2 + 1)**(-2))**0.6073311/(0.593981*n),PySRFunction(X=>-0.0016621732 + (10.461691/n)**2.3353815*((bL**2 + bT**2 + 1)**(-2))**0.6073311/(0.593981*n))
11,18,1.9095322,"(((lor(bT, bL) ^ 0.6259985) * square(((17.983559 - n) / n) / -1.560787)) / 1.4630643) + -0.0013669281",0.042136882298857224,(0.410499584422136*(17.983559 - n)**2/n**2)*((bL**2 + bT**2 + 1)**(-2))**0.6259985/1.4630643 - 0.0013669281,PySRFunction(X=>(0.410499584422136*(17.983559 - n)**2/n**2)*((bL**2 + bT**2 + 1)**(-2))**0.6259985/1.4630643 - 0.0013669281)
