Complexity,Loss,Equation
1,276.43433,"0.005039923"
3,171.56174,"0.4987565 ^ n"
4,167.56969,"decay(n ^ 0.8082777)"
5,167.51826,"(0.574374 ^ n) * 0.3943502"
8,130.91214,"square(5.734416 / (square(n) + square(bL)))"
9,128.76358,"24.105812 / (square(square(bL)) + square(square(n)))"
10,78.92158,"square((-14.045537 / (square(bT) + square(bL))) / n)"
11,59.850674,"square(7.822201 / ((square(bL) + square(bT)) + square(n)))"
12,30.048609,"square(square(-22.817148 / (square(bL) + (square(bT) + square(n)))))"
13,16.030222,"square(-3.8971968 / ((square(n + -3.4345057) + square(bT)) + square(bL)))"
14,13.512605,"square(square((-16.492039 - n) / (square(bT) + (square(bL) + square(n)))))"
15,6.792325,"square(-5.312968 / (square(bL) + (square(-2.461069 + n) + square(bT)))) - 0.002249409"
16,4.5434413,"square((9.965984 / (n + (((square(bL) + square(bT)) ^ 0.51080966) + 4.5992336))) ^ 4.397955)"
18,2.3397417,"square(((7.5759006 / ((n + 3.074282) + ((square(bL) + square(bT)) ^ 0.51227987))) ^ 2.5856996) + -0.058911435)"
20,1.6121757,"square(((6.9219522 / ((((square(bT) + square(bL)) + -4.540485) ^ 0.48782998) + (n + 3.5971603))) ^ 2.1176567) + -0.09150288)"
22,1.5206505,"square((((7.9399824 / (((((square(bL) + square(bT)) + -5.565462) ^ 0.48099515) + 3.7153683) + n)) ^ 1.8763065) + -0.16124491) / 1.4027171)"
24,1.4689089,"square((((8.011182 / (((((square(bL) + square(bT)) + -5.63837) ^ 0.48044026) + n) + 3.7277837)) ^ 1.7377578) + -0.19604753) / 1.4091505) + 0.0002954299"
25,1.3578705,"decay(n) + square((((8.418815 / (n + (((square(bT) + (square(bL) + -5.237449)) ^ 0.52118456) + 3.2412577))) ^ 1.5804398) / 1.7115061) + -0.13684192)"
27,1.3528616,"square((((8.41871 / ((n + (((square(bL) + -5.2374625) + square(bT)) ^ 0.5154862)) + 3.2412376)) ^ 1.5817524) / 1.7118832) + -0.13769782) + decay(n + 0.11646635)"
30,1.1348875,"square((((8.413936 / ((3.2451327 + (((square(bL) + square(bT)) + -5.236569) ^ 0.5235407)) + n)) ^ 1.5891477) / 1.727099) + -0.13329743) + decay(n + (-0.60466367 / square(bT)))"
