,complexity,loss,equation,score,sympy_format,lambda_format
0,1,276.43433,0.005039923,0.0,0.00503992300000000,PySRFunction(X=>0.00503992300000000)
1,3,171.56174,0.4987565 ^ n,0.23851504320569308,0.4987565**n,PySRFunction(X=>0.4987565**n)
2,4,167.56969,decay(n ^ 0.8082777),0.023543877383766267,exp(-n**0.8082777),PySRFunction(X=>exp(-n**0.8082777))
3,5,167.51826,(0.574374 ^ n) * 0.3943502,0.0003069641889769324,0.574374**n*0.3943502,PySRFunction(X=>0.574374**n*0.3943502)
4,8,130.91214,square(5.734416 / (square(n) + square(bL))),0.08218864969390115,32.883526861056/(bL**2 + n**2)**2,PySRFunction(X=>32.883526861056/(bL**2 + n**2)**2)
5,9,128.76358,24.105812 / (square(square(bL)) + square(square(n))),0.01654840145726845,24.105812/(bL**4 + n**4),PySRFunction(X=>24.105812/(bL**4 + n**4))
6,10,78.92158,square((-14.045537 / (square(bT) + square(bL))) / n),0.4895233084821207,197.277109618369/(n**2*(bL**2 + bT**2)**2),PySRFunction(X=>197.277109618369/(n**2*(bL**2 + bT**2)**2))
7,11,59.850674,square(7.822201 / ((square(bL) + square(bT)) + square(n))),0.2766020078000836,61.186828484401/(bL**2 + bT**2 + n**2)**2,PySRFunction(X=>61.186828484401/(bL**2 + bT**2 + n**2)**2)
8,12,30.048609,square(square(-22.817148 / (square(bL) + (square(bT) + square(n))))),0.6890363230352701,271047.519754229/(bL**2 + bT**2 + n**2)**4,PySRFunction(X=>271047.519754229/(bL**2 + bT**2 + n**2)**4)
9,13,16.030222,square(-3.8971968 / ((square(n + -3.4345057) + square(bT)) + square(bL))),0.6283405548337253,15.1881428979302/(bL**2 + bT**2 + (n - 3.4345057)**2)**2,PySRFunction(X=>15.1881428979302/(bL**2 + bT**2 + (n - 3.4345057)**2)**2)
10,14,13.512605,square(square((-16.492039 - n) / (square(bT) + (square(bL) + square(n))))),0.17085286204069788,(-n - 16.492039)**4/(bL**2 + bT**2 + n**2)**4,PySRFunction(X=>(-n - 16.492039)**4/(bL**2 + bT**2 + n**2)**4)
11,15,6.792325,square(-5.312968 / (square(bL) + (square(-2.461069 + n) + square(bT)))) - 0.002249409,0.6878296552414283,-1*0.002249409 + 28.227628969024/(bL**2 + bT**2 + (n - 2.461069)**2)**2,PySRFunction(X=>-1*0.002249409 + 28.227628969024/(bL**2 + bT**2 + (n - 2.461069)**2)**2)
12,16,4.5434413,square((9.965984 / (n + (((square(bL) + square(bT)) ^ 0.51080966) + 4.5992336))) ^ 4.397955),0.40210857776210396,606587820.034409*(1/(n + (bL**2 + bT**2)**0.51080966 + 4.5992336))**8.79591,PySRFunction(X=>606587820.034409*(1/(n + (bL**2 + bT**2)**0.51080966 + 4.5992336))**8.79591)
13,18,2.3397417,square(((7.5759006 / ((n + 3.074282) + ((square(bL) + square(bT)) ^ 0.51227987))) ^ 2.5856996) + -0.058911435),0.33182209092650106,((7.5759006/(n + (bL**2 + bT**2)**0.51227987 + 3.074282))**2.5856996 - 0.058911435)**2,PySRFunction(X=>((7.5759006/(n + (bL**2 + bT**2)**0.51227987 + 3.074282))**2.5856996 - 0.058911435)**2)
14,20,1.6121757,square(((6.9219522 / ((((square(bT) + square(bL)) + -4.540485) ^ 0.48782998) + (n + 3.5971603))) ^ 2.1176567) + -0.09150288),0.1862279527396327,((6.9219522/(n + (bL**2 + bT**2 - 4.540485)**0.48782998 + 3.5971603))**2.1176567 - 0.09150288)**2,PySRFunction(X=>((6.9219522/(n + (bL**2 + bT**2 - 4.540485)**0.48782998 + 3.5971603))**2.1176567 - 0.09150288)**2)
15,22,1.5206505,square((((7.9399824 / (((((square(bL) + square(bT)) + -5.565462) ^ 0.48099515) + 3.7153683) + n)) ^ 1.8763065) + -0.16124491) / 1.4027171),0.02922321467330832,0.508229438443231*((7.9399824/(n + (bL**2 + bT**2 - 5.565462)**0.48099515 + 3.7153683))**1.8763065 - 0.16124491)**2,PySRFunction(X=>0.508229438443231*((7.9399824/(n + (bL**2 + bT**2 - 5.565462)**0.48099515 + 3.7153683))**1.8763065 - 0.16124491)**2)
16,24,1.4689089,square((((8.011182 / (((((square(bL) + square(bT)) + -5.63837) ^ 0.48044026) + n) + 3.7277837)) ^ 1.7377578) + -0.19604753) / 1.4091505) + 0.0002954299,0.017309161771477743,0.503599443875605*((8.011182/(n + (bL**2 + bT**2 - 5.63837)**0.48044026 + 3.7277837))**1.7377578 - 0.19604753)**2 + 0.0002954299,PySRFunction(X=>0.503599443875605*((8.011182/(n + (bL**2 + bT**2 - 5.63837)**0.48044026 + 3.7277837))**1.7377578 - 0.19604753)**2 + 0.0002954299)
17,25,1.3578705,decay(n) + square((((8.418815 / (n + (((square(bT) + (square(bL) + -5.237449)) ^ 0.52118456) + 3.2412577))) ^ 1.5804398) / 1.7115061) + -0.13684192),0.07860221652792827,((8.418815/(n + (bL**2 + bT**2 - 5.237449)**0.52118456 + 3.2412577))**1.5804398/1.7115061 - 0.13684192)**2 + exp(-n),PySRFunction(X=>((8.418815/(n + (bL**2 + bT**2 - 5.237449)**0.52118456 + 3.2412577))**1.5804398/1.7115061 - 0.13684192)**2 + exp(-n))
18,27,1.3528616,square((((8.41871 / ((n + (((square(bL) + -5.2374625) + square(bT)) ^ 0.5154862)) + 3.2412376)) ^ 1.5817524) / 1.7118832) + -0.13769782) + decay(n + 0.11646635),0.001847805506405433,((8.41871/(n + (bL**2 + bT**2 - 5.2374625)**0.5154862 + 3.2412376))**1.5817524/1.7118832 - 0.13769782)**2 + 0.890060046993347*exp(-n),PySRFunction(X=>((8.41871/(n + (bL**2 + bT**2 - 5.2374625)**0.5154862 + 3.2412376))**1.5817524/1.7118832 - 0.13769782)**2 + 0.890060046993347*exp(-n))
19,30,1.1348875,square((((8.413936 / ((3.2451327 + (((square(bL) + square(bT)) + -5.236569) ^ 0.5235407)) + n)) ^ 1.5891477) / 1.727099) + -0.13329743) + decay(n + (-0.60466367 / square(bT))),0.05856284189126366,((8.413936/(n + (bL**2 + bT**2 - 5.236569)**0.5235407 + 3.2451327))**1.5891477/1.727099 - 0.13329743)**2 + exp(-n + 0.60466367/bT**2),PySRFunction(X=>((8.413936/(n + (bL**2 + bT**2 - 5.236569)**0.5235407 + 3.2451327))**1.5891477/1.727099 - 0.13329743)**2 + exp(-n + 0.60466367/bT**2))
