Complexity,Loss,Equation
1,0.0003283542,"4.0052214"
5,6.202049e-6,"(inv_zeta * -0.014497966) + 4.028278"
7,4.871935e-6,"((inv_zeta * -0.0012266227) * inv_zeta) + 4.0102024"
9,2.9516332e-7,"((inv_zeta * -0.016877562) + 4.051073) + (-0.026589002 / inv_zeta)"
11,9.7027815e-8,"(inv_zeta * -0.01621074) + (((-0.020034516 / inv_zeta) / inv_zeta) - -4.0416536)"
13,3.0659284e-11,"((((-0.04714992 / inv_zeta) + 0.036730196) / inv_zeta) + 4.028268) + (inv_zeta * -0.01523975)"
15,5.0987964e-12,"((inv_zeta * -0.015679197) + 4.035927) + ((((-0.03783321 / inv_zeta) + 0.017822996) / inv_zeta) / inv_zeta)"
23,8.794868e-13,"(inv_zeta * (-0.015771752 - (0.019925246 / (((inv_zeta * (inv_zeta * (inv_zeta * 2.256802))) * inv_zeta) - (inv_zeta + (inv_zeta * inv_zeta)))))) + 4.03707"
25,2.7784976e-13,"((inv_zeta * -0.015772305) + 4.0370746) - ((inv_zeta / (((((inv_zeta * inv_zeta) * 2.259292) * inv_zeta) * inv_zeta) - (inv_zeta + (inv_zeta * inv_zeta)))) * 0.019978996)"
29,2.549685e-13,"(inv_zeta * (-0.015773492 - (0.021801913 / ((((inv_zeta * 2.2789583) * (inv_zeta * inv_zeta)) * inv_zeta) - ((inv_zeta * 1.8935127) - (-0.66892856 / ((inv_zeta + 0.010404417) + inv_zeta))))))) + 4.037087"
