Complexity,Loss,Equation
1,0.0023601123,"0.045401536"
3,0.00075407635,"inv_zeta * 0.018774845"
5,0.00041793633,"(inv_zeta * inv_zeta) * 0.0029726748"
7,0.0001426585,"((inv_zeta * 0.0025358975) * inv_zeta) + 0.019018278"
9,0.000113607595,"(inv_zeta * ((inv_zeta * 0.00022724603) * inv_zeta)) - -0.032401886"
11,4.294771e-7,"((inv_zeta * 0.035113472) - (0.024598196 / (inv_zeta + -2.5892227))) + -0.04744749"
13,6.4485994e-10,"(-0.9651845 * inv_zeta) + ((inv_zeta - (0.024112463 / (inv_zeta + -2.6376004))) + -0.04501767)"
15,5.9119964e-10,"(inv_zeta * -0.9651839) + (((inv_zeta + -0.062655576) - (0.024112057 / (inv_zeta + -2.6377046))) - -0.017639132)"
17,4.8089567e-11,"(((inv_zeta - (0.5465576 / ((inv_zeta * inv_zeta) + -3.526058))) + -0.109066635) * (inv_zeta * 0.0026945628)) + 0.0120338565"
19,4.7439022e-14,"(((inv_zeta * ((inv_zeta * 0.007103628) + -0.06545605)) - -0.05396534) + 0.14199626) - (-0.15641811 / ((0.12580404 - inv_zeta) * inv_zeta))"
21,3.1216016e-18,"((0.019190762 + ((inv_zeta * inv_zeta) * 0.0026162097)) - (0.0073294733 / (inv_zeta + -0.8654596))) - (0.034557782 / ((inv_zeta * inv_zeta) + -4.6073136))"
23,0.0,"((inv_zeta * 0.0026255967) * inv_zeta) + ((0.017416604 - (0.03573132 / ((inv_zeta * inv_zeta) + -4.6904325))) - (0.008603524 / ((inv_zeta + -0.8581686) * inv_zeta)))"
