Complexity,Loss,Equation
1,0.006851284,"2.0535147"
5,0.00067497545,"(inv_zeta * -0.04268487) + 2.1329439"
7,0.00015004264,"((inv_zeta * inv_zeta) * -0.003682099) + 2.078752"
9,4.712841e-6,"inv_zeta * ((2.3513336 / (inv_zeta + 0.12207209)) + -0.06330985)"
11,3.5822695e-6,"((2.366904 / (inv_zeta + 0.21131787)) + -0.06405997) * (inv_zeta + 0.07620935)"
13,9.229909e-9,"((inv_zeta * ((0.6681279 / (inv_zeta + 1.0754623)) + 0.9296842)) - inv_zeta) + 1.7928405"
17,1.3693661e-9,"((inv_zeta + 1.775299) + (((0.6766967 / ((inv_zeta / inv_zeta) + inv_zeta)) + -0.06977707) * inv_zeta)) - inv_zeta"
25,6.323469e-11,"((inv_zeta * (((inv_zeta + 1.2658865) + ((((1.2302893 / inv_zeta) - inv_zeta) + 0.8692351) / (inv_zeta + 1.0161523))) - (1.3357791 + inv_zeta))) + 0.5685289) + inv_zeta"
27,5.962673e-11,"(inv_zeta * (((inv_zeta / inv_zeta) + ((inv_zeta + 1.2658865) + ((((1.2302893 / inv_zeta) - inv_zeta) + 0.8692351) / (inv_zeta + 1.0161523)))) - (inv_zeta + 1.3357791))) + 0.5685289"
29,4.5163102e-11,"((inv_zeta + 0.0010268819) * ((((inv_zeta + ((((1.2294607 / inv_zeta) - inv_zeta) + 0.8694079) / (inv_zeta + 1.0174764))) + (inv_zeta / inv_zeta)) + 1.2659242) - (inv_zeta + 1.3358634))) + 0.56783146"
