Complexity,Loss,Equation
1,0.0022675602,"-0.10449011"
3,0.0017672951,"inv_zeta * -0.04009139"
5,0.000109867666,"(0.24068056 / inv_zeta) - 0.25058725"
7,4.842692e-6,"-0.33387983 - (-0.77245814 / (inv_zeta + 1.6159171))"
9,1.2155313e-7,"(((-0.2622151 / inv_zeta) - -0.5197754) / inv_zeta) + -0.31361675"
11,1.39234855e-8,"(((-0.29750627 / inv_zeta) - -0.479188) / (inv_zeta + -0.25717974)) + -0.30888757"
15,1.4228422e-9,"-0.31109226 + (((-0.24838802 / (inv_zeta + ((-0.25369397 / inv_zeta) + 0.22325225))) - -0.5020311) / inv_zeta)"
17,1.4223849e-9,"(((inv_zeta * -0.31109226) + (-0.24838802 / (inv_zeta + ((-0.25369397 / inv_zeta) + 0.22325225)))) - -0.5020311) / inv_zeta"
19,2.2960951e-10,"((-0.22455874 / (inv_zeta + ((-0.22455874 / inv_zeta) / (inv_zeta + inv_zeta)))) + ((inv_zeta * -0.3106218) - -0.4964487)) / inv_zeta"
21,4.6645895e-11,"(((inv_zeta * -0.31056586) - -0.49544275) + (-0.22134319 / (((-0.24692748 / (inv_zeta - -0.25141343)) / (inv_zeta + 0.7416273)) + inv_zeta))) / inv_zeta"
25,1.744861e-11,"((-0.22455874 / (inv_zeta + ((-0.24745958 / (inv_zeta - 0.045079947)) / ((inv_zeta / 0.8832762) + (inv_zeta * 1.1568484))))) + ((inv_zeta * -0.3106218) - -0.4964487)) / inv_zeta"
27,3.729425e-12,"(((inv_zeta / inv_zeta) / inv_zeta) * ((inv_zeta * -0.4320034) + ((-0.44746506 / ((0.5860398 / ((inv_zeta * inv_zeta) * -2.5445106)) + (inv_zeta + inv_zeta))) - -0.4959838))) + 0.12143757"
