Complexity,Loss,Equation
1,0.0010526609,"0.029310934"
3,0.0002278607,"inv_zeta * 0.0133968005"
5,0.000103497776,"(inv_zeta * 0.019402698) + -0.021512857"
7,4.4541747e-7,"(inv_zeta * (inv_zeta * 0.0017553265)) + 0.01284131"
9,3.5307028e-7,"(inv_zeta * ((inv_zeta * 0.0017069705) + 0.0005944231)) - -0.011737974"
11,2.6926484e-8,"(0.01136343 / inv_zeta) + (inv_zeta * ((inv_zeta * 0.0015046141) + 0.0037894957))"
13,2.318475e-8,"(0.011670539 / inv_zeta) + (((inv_zeta * -0.0014987501) + -0.004003314) * (0.08170834 - inv_zeta))"
15,2.1203354e-8,"((-0.89561665 - inv_zeta) * ((inv_zeta * -0.0014788265) + -0.0026105805)) + (0.0112698125 / (inv_zeta * inv_zeta))"
17,2.256675e-16,"(((inv_zeta * inv_zeta) * 0.0014239326) + 0.017460922) + ((inv_zeta - 0.8949165) * (0.0050504496 - (0.017478513 / inv_zeta)))"
21,3.1037332e-17,"((((inv_zeta + -4.114526) * ((inv_zeta * -0.0073575107) - -0.0055382056)) * (-0.68644357 / inv_zeta)) + (inv_zeta * (inv_zeta * 0.0014239288))) + 0.020044573"
23,0.0,"((((inv_zeta - (inv_zeta / inv_zeta)) * ((inv_zeta * 0.0049040746) - 0.015357586)) / (inv_zeta - 0.047249213)) + ((inv_zeta * 0.0014323001) * inv_zeta)) + 0.016195739"
