Complexity,Loss,Equation
1,0.00041742995,"-0.5869576"
5,0.000110113855,"(inv_zeta * -0.008431865) + -0.57058704"
7,0.00011011267,"((inv_zeta * 0.9915669) + -0.57058567) - inv_zeta"
9,0.00010797267,"((-0.58296597 / inv_zeta) - 0.0073025124) * (inv_zeta + -0.024944538)"
11,4.61179e-7,"((inv_zeta * -0.0058259675) - 0.59193623) + (-0.018336795 / (inv_zeta + -2.3742712))"
13,2.3169876e-10,"((inv_zeta * -0.005746376) + (-0.039490923 / ((inv_zeta * 2.0301554) + -4.925724))) - 0.5919848"
15,2.2316832e-10,"((inv_zeta + -0.18741913) * ((-0.017637456 / ((inv_zeta * 2.030232) + -4.9258513)) + -0.00574634)) - 0.58437324"
19,1.380991e-13,"(-0.04007144 / (((inv_zeta + inv_zeta) + -4.9253764) + ((inv_zeta * inv_zeta) * 0.012771434))) + ((inv_zeta * -0.005746481) - 0.5921143)"
21,1.5339797e-14,"(inv_zeta * -0.0057465145) + ((-0.04007097 / ((inv_zeta + -4.9253454) + ((inv_zeta * ((inv_zeta + -0.0026614978) * 0.012790953)) + inv_zeta))) - 0.5921144)"
23,4.160524e-15,"(inv_zeta * -0.005746518) + ((-0.040071443 / (inv_zeta + (((((inv_zeta + -0.0026614978) * inv_zeta) * 0.012791083) + 1.5746688) + (inv_zeta - 6.500016)))) - 0.59211457)"
25,1.6642096e-16,"((-0.040070817 / ((((inv_zeta + 1.5746689) + ((inv_zeta * 0.012790957) * ((inv_zeta * -0.001069809) + inv_zeta))) - 6.5000143) + inv_zeta)) - 0.59211457) + (inv_zeta * -0.005746483)"
29,0.0,"(inv_zeta * -0.0057464815) + ((-0.040070817 / (inv_zeta + (((inv_zeta + 1.5746689) + ((inv_zeta * 0.0127909575) * (inv_zeta + ((inv_zeta + (inv_zeta * 0.0054555456)) * -0.001069809)))) - 6.5000143))) - 0.59211457)"
