Complexity,Loss,Equation
1,3.7451737e-5,"0.07611588"
5,1.5565494e-5,"(0.029413972 / inv_zeta) - -0.06998852"
7,6.5443496e-6,"(0.04761632 / (inv_zeta * inv_zeta)) - -0.072845"
9,5.5093547e-6,"(0.064472295 / ((inv_zeta * inv_zeta) * inv_zeta)) - -0.07406888"
11,2.5109367e-8,"((((-0.0199856 / inv_zeta) + 0.0013914672) * inv_zeta) * inv_zeta) - -0.12597524"
13,2.5108392e-8,"((((inv_zeta * 0.0018234629) + (0.16510111 / inv_zeta)) - 0.026190424) * inv_zeta) / 1.310653"
15,5.1288748e-12,"((((inv_zeta * 0.0034023013) + (0.29409426 / (inv_zeta - -0.08944997))) - 0.049563333) * inv_zeta) / 2.1241493"
19,4.9567815e-12,"inv_zeta * (((((inv_zeta - (inv_zeta * 0.0034027803)) * 0.0034143492) + (0.2941156 / (inv_zeta - -0.08944157))) - 0.049569413) / 2.1242359)"
23,4.552931e-12,"(((inv_zeta * -2.1170168) - -2.28615) * ((0.02723538 / ((inv_zeta / (2.2602062 - inv_zeta)) + -0.038769923)) / (inv_zeta * (inv_zeta * -0.3311728)))) + 0.08566921"
25,3.711379e-12,"((((0.03822089 / ((inv_zeta / (2.2604272 - inv_zeta)) + -0.038796965)) / ((inv_zeta * -0.32996425) * inv_zeta)) * ((inv_zeta * -2.1176546) - -2.285733)) + 0.12083807) * 0.70884085"
