Complexity,Loss,Equation
1,0.0020816654,"1.038862"
5,0.0002363094,"1.1547763 - (0.18375531 / inv_zeta)"
7,0.00014709008,"(-0.19105673 / (inv_zeta * inv_zeta)) + 1.1253295"
9,3.9610182e-5,"inv_zeta * ((1.283537 / (inv_zeta + 0.3249472)) - 0.012457486)"
11,1.1907354e-6,"(inv_zeta * -0.039621606) + (1.8100744 - (3.9896312 / (inv_zeta + 4.0355315)))"
13,3.8255432e-10,"(inv_zeta + -0.06934245) * ((0.9846762 / inv_zeta) + ((inv_zeta * -0.005381436) - -0.07114924))"
15,4.146259e-14,"(inv_zeta * (((0.9803763 / inv_zeta) + (inv_zeta * -0.0053698146)) - -0.07134108)) + (-0.06882255 / inv_zeta)"
17,6.6493844e-15,"((inv_zeta * ((((inv_zeta * inv_zeta) + inv_zeta) * -0.00028963565) - -0.04676754)) + (-0.09439061 / inv_zeta)) + 1.0241091"
21,5.2955073e-15,"(((-0.00028963565 * ((inv_zeta * inv_zeta) + inv_zeta)) - -0.04676754) * inv_zeta) + ((-0.124368206 / inv_zeta) + ((0.029977595 / inv_zeta) + 1.0241091))"
23,2.6777543e-15,"(-0.09438945 / inv_zeta) + ((inv_zeta * (((((inv_zeta * inv_zeta) + inv_zeta) - -0.21863759) * -0.00028963867) + ((0.17510176 / inv_zeta) - -0.04683137))) + 0.8490058)"
