Complexity,Loss,Equation
1,0.0017610365,"0.17476028"
5,0.0005328182,"(inv_zeta * 0.008578967) + 0.12176473"
7,8.115825e-6,"(0.2211071 / inv_zeta) + (inv_zeta * 0.01826171)"
9,4.1507055e-6,"(0.20451759 / inv_zeta) + ((inv_zeta * 0.017403474) + 0.010305403)"
11,2.44827e-10,"((0.058494337 / inv_zeta) + 0.014299113) * (inv_zeta + (2.5232103 / inv_zeta))"
13,5.571031e-12,"(((0.19109315 / inv_zeta) * 0.3059054) + 0.01430094) * (inv_zeta + (2.5260186 / inv_zeta))"
15,1.331394e-13,"((inv_zeta + (2.7891502 / (inv_zeta + -0.027194612))) * ((0.05010401 / inv_zeta) + 0.014346793)) + 0.007546805"
21,1.01439234e-14,"(-1.4555767e-5 / ((inv_zeta - 0.99799186) + -1.644144)) + ((((0.059616044 / inv_zeta) + 0.014285983) * (inv_zeta + (2.484476 / inv_zeta))) + -0.00094023906)"
23,1.801634e-16,"(((0.07885474 / inv_zeta) + 0.0141704865) * (inv_zeta + (1.9746909 / inv_zeta))) + ((0.00010196494 / (inv_zeta + ((-0.6005318 - inv_zeta) / inv_zeta))) + -0.018299352)"
25,1.9143337e-17,"((((0.07881335 / inv_zeta) + 0.014169833) * (inv_zeta + (1.9746869 / inv_zeta))) + (0.00010549464 / (((-0.8347835 - inv_zeta) / (inv_zeta + 0.13363385)) + inv_zeta))) + -0.018250298"
