Complexity,Loss,Equation
1,0.00015456486,"0.0142836915"
3,3.880734e-6,"inv_zeta * 0.006238949"
5,1.9757401e-6,"(inv_zeta * 0.0068531814) - 0.0023114563"
7,2.281453e-7,"((inv_zeta * 0.00015734839) + 0.005254451) * inv_zeta"
9,8.302493e-8,"((0.0046533523 - (inv_zeta * -0.00020449731)) * inv_zeta) - -0.0011519069"
11,4.509824e-8,"((inv_zeta * (-0.00018966233 - (inv_zeta * -2.5413268e-5))) - -0.006019334) * inv_zeta"
15,2.9256024e-9,"((inv_zeta + inv_zeta) - (-0.37146518 / ((inv_zeta / -1.3349879) + (inv_zeta + -1.1477543)))) * 0.0034717787"
17,2.0802005e-9,"(-0.040853158 + (inv_zeta + (inv_zeta - (-0.3550956 / (inv_zeta + ((inv_zeta / -1.3656341) + -1.1972482)))))) * 0.003482257"
19,1.4708172e-9,"((inv_zeta + -0.07430453) + (inv_zeta - (-0.5051845 / (inv_zeta + (((inv_zeta + -0.04701575) / -1.7061912) + -1.8499717))))) * 0.0034904925"
21,6.887997e-10,"((((inv_zeta + 0.10725693) - (-0.372449 / ((inv_zeta + -1.1454577) + (inv_zeta / -1.338264)))) + inv_zeta) * 0.003454301) - (0.00044821907 / inv_zeta)"
23,1.5239318e-10,"(inv_zeta + (inv_zeta - ((-0.3768416 / (inv_zeta + ((inv_zeta / -1.3394628) + -1.143756))) - (0.17150258 / (inv_zeta / (inv_zeta + -1.1440333)))))) * 0.0034466437"
27,3.706467e-11,"0.0034460349 * ((inv_zeta + inv_zeta) - ((-0.37623608 / (-1.1439805 + (inv_zeta + (inv_zeta / -1.3402628)))) - (0.13735938 / ((inv_zeta / -1.3176545) / (0.04439281 - (inv_zeta + -1.1439805))))))"
29,2.4794897e-11,"((inv_zeta + inv_zeta) - ((-0.37623605 / (((inv_zeta / -1.3402629) + inv_zeta) + -1.1439805)) - (0.13735938 / ((inv_zeta * -0.74575937) / ((0.07472315 / 2.0230868) - (inv_zeta + -1.1439805)))))) * 0.003445236"
