Complexity,Loss,Equation
1,2.7962158e-5,"2.0046124"
5,2.7307427e-5,"(inv_zeta * 0.00031452384) + 2.0038416"
7,2.0816904e-6,"(-0.003719541 / (2.148466 - inv_zeta)) + 2.009729"
9,2.0786686e-6,"(0.003677996 / (inv_zeta + -2.1448956)) + (2.239096 - 0.22939043)"
11,5.8156245e-14,"(2.0036156 + (0.007114894 / (inv_zeta + -2.4216151))) + (0.010808479 / inv_zeta)"
13,3.970819e-14,"((0.007114894 / (inv_zeta + -2.4216151)) + (2.235571 + (0.010808479 / inv_zeta))) - 0.23195538"
15,3.94645e-14,"((-0.0071148 / (inv_zeta - (inv_zeta + (inv_zeta + -2.421582)))) + (0.010809193 / inv_zeta)) + 2.0036154"
17,1.7539779e-14,"(((-0.00021776208 / (3.1653376 - inv_zeta)) - (-0.010380503 / inv_zeta)) + (-0.006476944 / (2.3836825 - inv_zeta))) + 2.0037043"
21,3.689611e-15,"(((-0.006474303 / ((2.3835225 - (inv_zeta + inv_zeta)) + inv_zeta)) + (-0.00021869787 / (3.1652093 - inv_zeta))) - (-0.010378323 / inv_zeta)) + 2.003705"
25,0.0,"(((-0.00027639352 / ((inv_zeta + -1.5531479) / inv_zeta)) - (-0.0007702315 / (-1.5531448 / inv_zeta))) + (-0.0058252453 / ((inv_zeta + 2.383909) - (inv_zeta + inv_zeta)))) + 2.0105352"
