Complexity,Loss,Equation
1,58.75673,"0.04540133"
3,18.773285,"inv_zeta * 0.018774932"
5,2.6809318,"-0.35791346 / (inv_zeta + -12.082367)"
7,2.5321598,"(-0.7263869 / (inv_zeta + -12.989824)) - 0.032510642"
9,0.9842473,"(inv_zeta + (-1.0005803 / (3.8920314 - inv_zeta))) * 0.030225521"
11,4.7951335e-7,"(inv_zeta - (1.291093 + (0.6922531 / (inv_zeta - 2.6395638)))) * 0.034811568"
13,2.6096026e-12,"(inv_zeta * 0.059415482) + (((1.0954328 - (0.82252866 / inv_zeta)) / inv_zeta) - 0.41152373)"
15,2.9446218e-13,"(inv_zeta * (inv_zeta * 0.0033875576)) + (((0.58403164 - (0.5235649 / inv_zeta)) / inv_zeta) - 0.12414224)"
17,1.942864e-14,"(inv_zeta * (inv_zeta * 0.003183005)) + (((0.31055036 - (0.31662822 / (inv_zeta * inv_zeta))) / inv_zeta) - 0.07856927)"
23,0.0,"(((0.22659308 - ((0.5619269 / inv_zeta) / ((inv_zeta + inv_zeta) * inv_zeta))) / inv_zeta) + ((inv_zeta + 0.06978157) * (inv_zeta * 0.0030648734))) - 0.05918503"
