Complexity,Loss,Equation
1,238.59137,"0.014283677"
3,5.990427,"inv_zeta * 0.006238958"
5,3.049817,"(inv_zeta - 0.33730638) * 0.006853219"
7,0.2786722,"0.09594666 / ((17.945711 / inv_zeta) + -0.38476616)"
9,0.11303871,"0.122974806 / ((25.147154 / (inv_zeta - -0.18331791)) + -0.65348107)"
11,0.07190745,"(((inv_zeta * 0.00050435273) * inv_zeta) + 0.01742861) + (-0.0141293835 / inv_zeta)"
13,3.878933e-12,"((((inv_zeta + 5.379679) * inv_zeta) * 0.00037399563) + (-0.008136287 / inv_zeta)) + 0.010460995"
19,2.768669e-12,"(-0.0081362855 / inv_zeta) + (((((inv_zeta + 5.379679) * inv_zeta) * 0.00037399563) + ((0.044326816 / inv_zeta) * inv_zeta)) + -0.03386582)"
21,1.4669228e-13,"((inv_zeta * 0.012259079) - (0.025762018 - ((0.044540375 - (-0.06624529 / ((inv_zeta / -0.42976397) * inv_zeta))) / (inv_zeta + 0.025684115)))) * 0.68204087"
23,0.0,"((0.044326816 / inv_zeta) * ((inv_zeta * inv_zeta) / inv_zeta)) + (((((inv_zeta + 5.379679) * 0.00037399563) * inv_zeta) + -0.03386582) + (-0.0081362855 / inv_zeta))"
