Complexity,Loss,Equation
1,0.0022675602,"-0.10449105"
3,0.0017672951,"inv_zeta * -0.0400909"
5,0.000109867666,"(0.2406768 / inv_zeta) - 0.2505848"
7,4.7984854e-6,"(0.755456 / (inv_zeta + 1.5717921)) + -0.33193943"
9,1.1610624e-9,"(0.44911328 / (inv_zeta + (0.7531234 / inv_zeta))) - 0.30804098"
11,1.0020247e-9,"(0.44894207 / (inv_zeta + ((0.21814184 / inv_zeta) / 0.2899193))) - 0.30801064"
13,9.991992e-10,"(0.448943 / (((0.21813151 / (inv_zeta + -7.354272e-5)) / 0.28990933) + inv_zeta)) - 0.3080101"
15,3.2299396e-10,"(0.4476058 / (((-0.5434721 / ((inv_zeta + -0.019936986) * -2.5448787)) / 0.29024494) + inv_zeta)) - 0.3077917"
17,3.7485674e-12,"((-4.4482746e-5 / (inv_zeta + -2.940313)) + (0.44845697 / (inv_zeta + (-0.543186 / (inv_zeta * -0.72248775))))) - 0.30784592"
23,5.1231426e-13,"(0.4484992 / (inv_zeta + (((-0.54313874 / (inv_zeta * -2.4888887)) / 0.29025596) + (((inv_zeta * 0.00034425195) + -0.00019669418) / (inv_zeta + -3.0548384))))) - 0.30785602"
