Complexity,Loss,Equation
1,2.7962158e-5,"2.0046124"
5,2.730727e-5,"(inv_zeta * 0.00031466415) - -2.003841"
7,2.2729273e-6,"2.009866 + (0.0030620424 / (-2.0953026 + inv_zeta))"
9,2.0768603e-6,"((5.8263683 / (inv_zeta + -2.1423454)) + 3199.7751) * 0.0006280834"
11,5.190871e-11,"(inv_zeta * -0.00065524207) - ((-0.005002749 / (inv_zeta + -2.2118955)) + -2.0120819)"
13,4.6081427e-11,"(((inv_zeta * -0.000651549) - -2.0003214) + (0.0049743815 / (inv_zeta + -2.2119563))) * 1.0058796"
15,4.146705e-12,"((((7.3198957 / (inv_zeta + -2.212711)) + 3197.5403) * 0.0006845996) + (inv_zeta * -0.0006558828)) - 0.17695272"
17,1.9875256e-12,"((inv_zeta - -1.8385897) * -0.0006561604) - ((((7.3198957 / (inv_zeta + -2.2127106)) + 3197.9705) * -0.00068488595) + 0.17695296)"
21,1.5979791e-12,"((inv_zeta + 1.3631649) * ((inv_zeta + -0.00065598474) - inv_zeta)) - ((((7.3198957 / (inv_zeta + -2.2127123)) + 3197.9705) * -0.00068478787) + 0.17695294)"
23,9.288818e-13,"((((7.319907 / (-2.212516 + inv_zeta)) + 3197.5403) * 0.0006845853) + ((inv_zeta / ((inv_zeta / 0.76642674) + 0.24685621)) * (inv_zeta * -0.0008576877))) - 0.17701232"
25,7.586185e-13,"(((inv_zeta * -0.0006575651) / ((inv_zeta / inv_zeta) + (inv_zeta - 0.8099457))) * inv_zeta) + ((((7.319907 / (inv_zeta + -2.2125177)) + 3197.5403) * 0.0006845852) - 0.17701209)"
