Complexity,Loss,Equation
1,433.8977,"-0.10449105"
3,338.17194,"inv_zeta * -0.04009075"
5,61.34674,"(inv_zeta ^ 0.6111028) * -0.07088307"
7,0.0007372558,"((0.6714442 ^ inv_zeta) + -0.7999983) * 0.33958027"
13,2.6049954e-6,"(inv_zeta + -0.008783652) * (((0.02585735 ^ inv_zeta) + -0.06769297) + (inv_zeta * 0.003939691))"
15,7.7770045e-7,"(inv_zeta * (((0.02564629 ^ inv_zeta) + -0.067759015) + ((inv_zeta + inv_zeta) * 0.0019709256))) + 0.00067528925"
21,1.302408e-8,"inv_zeta * (((((((inv_zeta ^ -0.47355345) ^ inv_zeta) + ((inv_zeta * 0.9238299) + 1.0768778)) ^ -2.8254466) * inv_zeta) * -0.7224427) + -0.01575262)"
23,8.005197e-9,"((((((((inv_zeta ^ 1.000552) ^ -0.47327188) ^ inv_zeta) + ((inv_zeta * 0.9239424) + 1.0769229)) ^ -2.825149) * -0.7223846) * inv_zeta) + -0.015749922) * inv_zeta"
39,2.4740898e-10,"(((((inv_zeta * 1.6500939) + (((((inv_zeta + ((inv_zeta + 0.6707936) ^ inv_zeta)) + ((inv_zeta * (inv_zeta * 0.051039755)) + -0.62171596)) ^ -0.08095011) ^ inv_zeta) ^ 0.22848187)) * -0.004312591) + 0.119477965) * ((inv_zeta + -0.025011769) * -0.5924117)) + (0.02964403 ^ inv_zeta)"
41,7.2193515e-11,"((((((inv_zeta * 1.6500939) + ((((inv_zeta + (((inv_zeta + 0.2961321) * (inv_zeta * 0.051039755)) + (((inv_zeta + 0.6707936) ^ inv_zeta) + -0.64672774))) ^ -0.080950126) ^ inv_zeta) ^ 0.22848187)) * -0.0043125884) + 0.11947792) * -0.5924115) * (inv_zeta + -0.025011908)) + (0.029643616 ^ inv_zeta)"
47,4.9257126e-12,"(0.029644571 ^ inv_zeta) + ((inv_zeta + -0.025029391) * (((((inv_zeta * 1.6500983) + ((((((inv_zeta + 0.6707936) ^ inv_zeta) + ((inv_zeta + (((inv_zeta * -0.37925434) + (((inv_zeta ^ inv_zeta) + -0.16476548) ^ -0.984659)) * -0.096780136)) + -0.48451224)) ^ -0.08095315) ^ inv_zeta) ^ 0.228483)) * -0.00431264) + 0.11947899) * -0.5924136))"
