Complexity,Loss,Equation
1,433.8977,"-0.104491234"
3,338.17194,"inv_zeta * -0.0400909"
5,4.5451784,"(inv_zeta ^ -0.118642636) + -1.039637"
7,0.0007323538,"((0.6715235 ^ inv_zeta) + -0.80011547) * 0.33955538"
9,0.0007303222,"(((0.6715118 ^ inv_zeta) + -0.70519537) * 0.3396077) + -0.03221373"
11,0.0002779918,"((0.6534367 ^ inv_zeta) + -0.7321816) * ((0.13334556 ^ inv_zeta) + 0.36963835)"
13,5.8694864e-6,"(((0.6516592 ^ inv_zeta) + -0.7239937) * 1.2316451) * ((0.13018598 ^ inv_zeta) + 0.3035821)"
17,4.1384565e-6,"(((((inv_zeta * ((inv_zeta ^ inv_zeta) ^ -0.25642872)) * 1.6060976) + 1.4762026) * inv_zeta) * -0.016412586) + 0.0031466254"
19,1.6874062e-6,"(inv_zeta * ((((((inv_zeta ^ inv_zeta) + 0.0052068806) ^ -0.2564449) * (inv_zeta * 1.6060987)) + 1.4762014) * -0.016408797)) + 0.0030912382"
23,4.527454e-8,"(((inv_zeta * 2.1950235) * ((((inv_zeta + 3.8900397) ^ -1.2822915) * ((inv_zeta ^ inv_zeta) + 0.16807993)) ^ -0.28382492)) + 3.7688937) * (inv_zeta * -0.0063796993)"
25,3.3830079e-9,"inv_zeta * (((inv_zeta * ((((((inv_zeta ^ inv_zeta) + inv_zeta) + -0.24714132) * ((inv_zeta + 5.9198003) ^ -1.6802875)) ^ -0.3222167) * 2.3231163)) + 5.4954705) * -0.004397752)"
27,1.05889585e-11,"(inv_zeta * ((inv_zeta * (((((inv_zeta + ((inv_zeta ^ inv_zeta) + -0.24747632)) * ((inv_zeta + 5.919789) ^ -1.6802902)) + 1.3339902e-5) ^ -0.32221994) * 2.3231153)) + 5.49546)) * -0.004397756"
